step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;21096815;0;1;90;245;16.26;1.14;-1.00;0.00;90;0;0.00;155
0;0;21096839;0;0;100;245;15.55;1.08;-1.00;0.10;100;0;1.00;145
0;0;21096840;0;1;119;245;14.69;1.00;-1.00;0.40;119;0;2.00;126
0;0;21096841;0;2;133;245;13.39;0.91;-1.00;0.68;133;0;3.00;112
0;0;21096842;0;2;145;245;12.55;0.84;-1.00;0.95;145;0;4.00;100
0;0;21096843;0;5;155;245;11.55;0.78;-1.00;1.21;155;0;5.00;90
0;0;21096845;0;7;166;245;10.74;0.72;-1.00;1.53;166;0;6.00;79
0;0;21096846;0;13;174;245;10.19;0.68;-1.00;1.78;174;0;7.00;71
0;0;21096848;0;22;186;246;9.61;0.64;-1.00;2.18;186;0;8.00;60
0;0;21096849;0;22;190;247;9.34;0.62;-1.00;2.33;190;0;9.00;57
0;0;21096852;0;28;197;247;9.00;0.60;-1.00;2.60;197;0;10.00;50
0;0;21096853;0;30;202;248;8.81;0.58;-1.00;2.76;202;0;11.00;46
1;0;21096855;1;35;206;248;8.60;0.56;12.00;2.94;205;0;12.00;42
2;0;21096857;2;40;209;248;8.51;0.56;12.50;3.08;207;0;13.00;39
2;0;21096860;2;41;212;248;8.49;0.55;12.50;3.24;210;0;14.00;36
2;0;21096862;2;44;217;252;8.46;0.55;12.50;3.38;215;0;15.00;35
2;0;21096864;2;49;219;252;8.56;0.55;12.50;3.49;217;0;16.00;33
2;0;21096867;2;53;222;252;8.61;0.55;12.50;3.68;220;0;17.00;30
2;0;21096869;2;60;225;255;8.71;0.55;12.50;3.87;223;0;18.00;30
2;0;21096872;2;63;228;255;8.82;0.56;12.50;4.07;226;0;19.00;27
3;0;21096874;3;67;231;255;8.78;0.56;15.00;4.27;228;0;20.00;24
4;0;21096877;4;69;237;259;8.95;0.56;16.50;4.33;233;0;21.00;22
4;0;21096880;4;73;239;260;8.88;0.56;16.50;4.42;235;0;22.00;21
5;0;21096882;5;81;243;260;8.74;0.55;17.80;4.65;238;0;23.00;17
6;0;21096885;6;81;245;264;8.55;0.53;18.83;4.71;239;0;24.00;19
6;0;21096888;6;85;249;264;8.47;0.53;18.83;4.80;243;0;25.00;15
6;0;21096890;6;88;250;264;8.46;0.53;18.83;4.79;244;0;26.00;14
6;0;21096893;6;87;251;265;8.41;0.52;18.83;4.78;245;0;27.00;14
6;0;21096896;6;92;252;265;8.37;0.52;18.83;4.87;246;0;28.00;13
6;0;21096898;6;94;258;271;8.27;0.51;18.83;4.82;252;0;29.00;13
6;0;21096903;6;97;259;271;8.17;0.51;18.83;4.92;253;0;30.00;12
8;0;21096906;8;100;260;272;7.93;0.49;21.50;4.90;252;0;31.00;12
8;0;21096909;8;103;261;272;7.96;0.50;21.50;4.90;253;0;32.00;11
8;0;21096911;8;104;262;272;8.00;0.50;21.50;5.01;254;0;33.00;10
8;0;21096914;8;110;262;272;8.16;0.51;21.50;5.01;254;0;34.00;10
9;0;21096917;9;115;264;272;8.21;0.51;23.00;5.23;255;0;35.00;8
10;0;21096920;10;117;274;284;8.57;0.53;23.60;5.04;264;0;36.00;10
11;0;21096923;11;119;274;284;8.54;0.53;24.45;5.04;263;0;37.00;10
11;0;21096926;11;119;276;284;8.44;0.52;24.45;5.15;265;0;38.00;8
12;0;21096929;12;121;277;284;8.36;0.52;25.50;5.24;265;0;39.00;7
14;0;21096932;14;122;278;284;8.18;0.51;27.00;5.30;264;0;40.00;6
14;0;21096934;14;126;279;284;8.00;0.50;27.00;5.33;265;0;41.00;5
14;0;21096937;14;130;284;288;7.98;0.49;27.00;5.27;270;0;42.00;4
14;0;21096940;14;132;284;288;7.89;0.49;27.00;5.27;270;0;43.00;4
17;0;21096943;17;136;288;292;7.82;0.48;28.00;5.22;271;0;44.00;4
17;0;21096946;17;140;290;294;7.75;0.48;28.00;5.18;273;0;45.00;4
18;0;21096949;18;143;290;294;7.57;0.47;29.00;5.18;272;0;46.00;4
18;0;21096952;18;141;290;294;7.48;0.46;29.00;5.18;272;0;47.00;4
18;0;21096954;18;144;301;307;7.80;0.48;29.00;4.99;283;0;48.00;6
18;0;21096958;18;147;301;307;7.71;0.48;29.00;4.99;283;0;49.00;6
18;0;21096960;18;148;301;307;7.57;0.47;29.00;4.99;283;0;50.00;6
18;0;21096963;18;150;302;308;7.50;0.47;29.00;4.98;284;0;51.00;6
21;0;21096965;21;151;303;309;7.27;0.45;30.48;4.96;282;0;52.00;6
22;0;21096968;22;151;303;309;7.19;0.45;31.45;4.96;281;0;53.00;6
22;0;21096971;22;153;305;312;7.19;0.45;31.45;4.93;283;0;54.00;7
23;0;21096974;23;155;305;312;6.99;0.43;31.48;4.93;282;0;55.00;7
24;0;21096976;24;142;306;312;6.96;0.43;31.54;4.92;282;0;56.00;6
25;0;21096979;25;140;306;312;6.92;0.43;32.56;4.92;281;0;57.00;6
25;0;21096981;25;141;312;318;6.99;0.43;32.56;4.85;287;0;58.00;6
27;0;21096985;27;142;312;318;7.01;0.43;34.52;4.85;285;0;59.00;6
28;0;21096989;28;145;312;318;7.09;0.44;35.32;4.85;284;0;60.00;6
28;0;21096991;28;148;312;318;7.16;0.44;35.32;4.85;284;0;61.00;6
28;0;21096994;28;149;316;322;7.22;0.44;35.32;4.80;288;0;62.00;6
30;0;21096997;30;151;317;323;7.33;0.45;36.80;4.78;287;0;63.00;6
30;0;21097000;30;152;317;323;7.37;0.45;36.80;4.78;287;0;64.00;6
30;0;21097002;30;152;318;324;7.49;0.46;36.80;4.77;288;0;65.00;6
30;0;21097004;30;154;318;324;7.53;0.46;36.80;4.77;288;0;66.00;6
30;0;21097007;30;142;318;324;7.67;0.47;36.80;4.77;288;0;67.00;6
30;0;21097009;30;141;318;324;7.74;0.47;36.80;4.77;288;0;68.00;6
34;0;21097012;34;136;318;324;7.77;0.47;39.18;4.77;284;0;69.00;6
34;0;21097015;34;132;318;324;7.89;0.48;39.18;4.77;284;0;70.00;6
34;0;21097018;34;130;318;324;8.02;0.49;39.18;4.77;284;0;71.00;6
34;0;21097021;34;134;351;394;8.25;0.51;39.18;4.32;317;0;72.00;43
34;0;21097029;34;127;352;395;8.48;0.52;39.18;4.31;318;0;73.00;43
35;0;21097032;35;119;359;395;8.84;0.54;39.57;4.27;324;0;74.00;36
35;0;21097035;35;117;361;395;9.00;0.55;39.57;4.26;326;0;75.00;34
35;0;21097038;35;114;364;395;9.24;0.57;39.57;4.26;329;0;76.00;31
36;0;21097042;36;115;367;395;9.40;0.58;40.50;4.26;331;0;77.00;28
36;0;21097045;36;115;370;395;9.48;0.58;40.50;4.28;334;0;78.00;25
37;0;21097054;37;122;373;395;9.46;0.58;41.54;4.30;336;0;79.00;22
40;0;21097058;40;122;374;396;9.41;0.57;43.98;4.31;334;0;80.00;22
42;0;21097068;42;122;376;397;9.35;0.57;45.74;4.34;334;0;81.00;21
42;0;21097074;42;122;379;397;9.39;0.57;45.74;4.36;337;0;82.00;18
42;0;21097080;42;128;383;401;9.18;0.56;45.74;4.33;341;0;83.00;18
42;0;21097091;42;127;384;401;9.14;0.55;45.74;4.35;342;0;84.00;17
42;0;21097095;42;128;385;401;9.14;0.56;45.74;4.35;343;0;85.00;16
43;0;21097098;43;128;385;401;9.02;0.55;46.65;4.35;342;0;86.00;16
43;0;21097101;43;127;390;407;8.98;0.55;46.65;4.30;347;0;87.00;17
44;0;21097105;44;128;390;407;8.86;0.54;47.59;4.30;346;0;88.00;17
45;0;21097110;45;129;390;407;8.71;0.53;48.51;4.30;345;0;89.00;17
45;0;21097116;45;128;394;413;8.76;0.53;48.51;4.26;349;0;90.00;19
46;0;21097119;46;131;394;413;8.66;0.53;49.43;4.26;348;0;91.00;19
46;0;21097124;46;134;396;413;8.73;0.53;49.43;4.25;350;0;92.00;17
50;0;21097128;50;133;397;414;8.60;0.52;52.92;4.24;347;0;93.00;17
51;0;21097132;51;132;398;415;8.67;0.53;53.63;4.23;347;0;94.00;17
52;0;21097136;52;132;398;415;8.67;0.53;54.42;4.23;346;0;95.00;17
52;0;21097140;52;138;409;428;8.64;0.53;54.42;4.12;357;0;96.00;19
56;0;21097145;56;134;409;428;8.54;0.52;57.46;4.12;353;0;97.00;19
56;0;21097148;56;132;409;428;8.56;0.52;57.46;4.12;353;0;98.00;19
61;0;21097152;61;132;410;429;8.48;0.52;59.62;4.11;349;0;99.00;19
62;0;21097158;62;134;410;429;8.50;0.52;60.18;4.11;348;0;100.00;19
64;0;21097165;64;137;413;433;8.57;0.52;61.00;4.08;349;0;101.00;20
64;0;21097169;64;137;413;433;8.53;0.52;61.00;4.08;349;0;102.00;20
