step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;22997735;0;1;87;245;16.19;1.15;-1.00;0.00;87;0;0.00;158
0;0;22997765;0;1;103;245;15.14;1.05;-1.00;0.16;103;0;1.00;142
0;0;22997766;0;1;123;245;14.25;0.98;-1.00;0.46;123;0;2.00;122
0;0;22997767;0;1;136;245;13.20;0.90;-1.00;0.70;136;0;3.00;109
0;0;22997768;0;1;150;245;12.34;0.83;-1.00;1.01;150;0;4.00;95
0;0;22997770;0;5;156;245;11.49;0.77;-1.00;1.16;156;0;5.00;89
0;0;22997771;0;9;166;245;10.58;0.71;-1.00;1.45;166;0;6.00;79
0;0;22997773;0;13;175;245;10.14;0.68;-1.00;1.74;175;0;7.00;70
0;0;22997774;0;21;184;246;9.60;0.64;-1.00;2.04;184;0;8.00;62
0;0;22997776;0;25;188;247;9.35;0.62;-1.00;2.19;188;0;9.00;59
0;0;22997779;0;25;197;247;9.09;0.60;-1.00;2.55;197;0;10.00;50
0;0;22997781;0;30;200;248;8.99;0.59;-1.00;2.63;200;0;11.00;48
0;0;22997784;0;30;206;248;8.85;0.58;-1.00;2.90;206;0;12.00;42
1;0;22997786;1;32;211;248;8.71;0.57;13.00;3.14;210;0;13.00;37
2;0;22997788;2;40;212;248;8.76;0.57;13.50;3.19;210;0;14.00;36
2;0;22997790;2;44;221;252;8.51;0.55;13.50;3.54;219;0;15.00;31
2;0;22997794;2;48;225;252;8.41;0.54;13.50;3.76;223;0;16.00;27
2;0;22997797;2;56;228;252;8.26;0.52;13.50;3.91;226;0;17.00;24
2;0;22997800;2;55;233;255;8.16;0.52;13.50;4.15;231;0;18.00;22
2;0;22997803;2;59;235;255;8.27;0.52;13.50;4.14;233;0;19.00;20
2;0;22997806;2;64;236;255;8.33;0.53;13.50;4.21;234;0;20.00;19
4;0;22997808;4;72;243;259;8.49;0.54;17.25;4.36;239;0;21.00;16
5;0;22997812;5;74;246;260;8.57;0.54;18.20;4.42;241;0;22.00;14
6;0;22997815;6;77;248;260;8.62;0.54;18.83;4.57;242;0;23.00;12
6;0;22997819;6;81;253;264;8.70;0.55;18.83;4.67;247;0;24.00;11
6;0;22997824;6;83;255;264;8.84;0.55;18.83;4.73;249;0;25.00;9
6;0;22997828;6;83;257;264;8.95;0.56;18.83;4.90;251;0;26.00;7
6;0;22997833;6;84;258;265;8.96;0.56;18.83;4.98;252;0;27.00;7
6;0;22997836;6;86;259;265;8.97;0.56;18.83;5.07;253;0;28.00;6
6;0;22997839;6;90;265;271;8.89;0.55;18.83;5.05;259;0;29.00;6
6;0;22997846;6;92;266;271;8.80;0.54;18.83;5.04;260;0;30.00;5
7;0;22997850;7;94;268;272;8.70;0.54;20.14;5.06;261;0;31.00;4
8;0;22997853;8;96;269;272;8.63;0.53;21.63;5.06;261;0;32.00;3
10;0;22997856;10;98;269;272;8.64;0.53;23.90;5.06;259;0;33.00;3
10;0;22997860;10;101;269;272;8.72;0.54;23.90;5.06;259;0;34.00;3
11;0;22997863;11;104;269;272;8.72;0.54;24.36;5.06;258;0;35.00;3
11;0;22997867;11;107;280;284;9.04;0.56;24.36;4.86;269;0;36.00;4
11;0;22997871;11;109;280;284;9.01;0.55;24.36;4.86;269;0;37.00;4
13;0;22997873;13;111;281;284;8.91;0.55;25.92;4.85;268;0;38.00;3
13;0;22997877;13;113;281;284;8.79;0.54;25.92;4.85;268;0;39.00;3
13;0;22997880;13;118;281;284;8.69;0.54;25.92;4.85;268;0;40.00;3
14;0;22997883;14;119;281;284;8.55;0.53;26.86;4.85;267;0;41.00;3
14;0;22997886;14;122;285;288;8.51;0.53;26.86;4.79;271;0;42.00;3
16;0;22997889;16;124;285;288;8.23;0.51;27.25;4.79;269;0;43.00;3
17;0;22997892;17;126;289;292;8.13;0.50;28.24;4.74;272;0;44.00;3
17;0;22997895;17;131;291;294;7.98;0.50;28.24;4.71;274;0;45.00;3
17;0;22997898;17;134;291;294;7.84;0.49;28.24;4.71;274;0;46.00;3
17;0;22997902;17;134;291;294;7.76;0.48;28.24;4.71;274;0;47.00;3
18;0;22997905;18;141;302;307;7.96;0.50;28.78;4.54;284;0;48.00;5
18;0;22997911;18;141;302;307;7.84;0.49;28.78;4.54;284;0;49.00;5
18;0;22997915;18;143;302;307;7.67;0.48;28.78;4.54;284;0;50.00;5
18;0;22997918;18;144;303;308;7.57;0.47;28.78;4.52;285;0;51.00;5
19;0;22997920;19;148;304;309;7.45;0.47;29.63;4.51;285;0;52.00;5
20;0;22997923;20;151;304;309;7.35;0.46;29.00;4.51;284;0;53.00;5
20;0;22997926;20;152;306;312;7.41;0.46;29.00;4.48;286;0;54.00;6
22;0;22997929;22;154;306;312;7.33;0.46;31.36;4.48;284;0;55.00;6
23;0;22997932;23;142;307;312;7.28;0.45;32.39;4.48;284;0;56.00;5
25;0;22997935;25;137;307;312;7.14;0.44;34.24;4.48;282;0;57.00;5
26;0;22997938;26;138;313;318;7.13;0.44;35.15;4.41;287;0;58.00;5
28;0;22997941;28;141;313;318;7.09;0.44;35.96;4.41;285;0;59.00;5
29;0;22997946;29;146;313;318;7.11;0.43;35.86;4.41;284;0;60.00;5
29;0;22997949;29;149;313;318;7.15;0.44;35.86;4.41;284;0;61.00;5
29;0;22997952;29;152;317;322;7.22;0.44;35.86;4.37;288;0;62.00;5
29;0;22997955;29;155;318;323;7.43;0.45;35.86;4.35;289;0;63.00;5
31;0;22997958;31;157;318;323;7.46;0.45;36.10;4.35;287;0;64.00;5
32;0;22997961;32;157;319;324;7.53;0.46;37.00;4.34;287;0;65.00;5
33;0;22997964;33;159;319;324;7.55;0.46;37.76;4.34;286;0;66.00;5
34;0;22997967;34;146;319;324;7.58;0.46;38.62;4.34;285;0;67.00;5
35;0;22997970;35;143;319;324;7.72;0.47;39.31;4.34;284;0;68.00;5
35;0;22997973;35;136;319;324;7.85;0.47;39.31;4.34;284;0;69.00;5
35;0;22997976;35;133;319;324;7.97;0.48;39.31;4.34;284;0;70.00;5
35;0;22997979;35;129;319;324;8.14;0.49;39.31;4.34;284;0;71.00;5
35;0;22997981;35;135;353;394;8.49;0.52;39.31;3.92;318;0;72.00;41
35;0;22997991;35;128;354;395;8.66;0.53;39.31;3.92;319;0;73.00;41
35;0;22997997;35;121;361;395;8.97;0.55;39.31;3.88;326;0;74.00;34
35;0;22998002;35;120;363;395;9.12;0.56;39.31;3.87;328;0;75.00;32
35;0;22998008;35;116;365;395;9.36;0.57;39.31;3.87;330;0;76.00;30
35;0;22998014;35;114;366;395;9.48;0.58;39.31;3.88;331;0;77.00;29
36;0;22998019;36;115;370;395;9.58;0.58;39.81;3.90;334;0;78.00;25
36;0;22998022;36;119;371;395;9.57;0.58;39.81;3.91;335;0;79.00;24
37;0;22998026;37;119;373;396;9.58;0.58;40.89;3.93;336;0;80.00;23
38;0;22998037;38;120;376;397;9.57;0.58;41.39;3.97;338;0;81.00;21
39;0;22998041;39;122;379;397;9.46;0.57;42.44;4.02;340;0;82.00;18
40;0;22998045;40;125;386;401;9.26;0.56;43.45;4.00;346;0;83.00;15
40;0;22998050;40;130;386;401;9.18;0.56;43.45;4.00;346;0;84.00;15
40;0;22998053;40;132;386;401;9.15;0.56;43.45;4.00;346;0;85.00;15
40;0;22998056;40;130;386;401;9.03;0.55;43.45;4.00;346;0;86.00;15
42;0;22998059;42;135;391;407;8.90;0.54;45.50;3.96;349;0;87.00;16
43;0;22998064;43;137;391;407;8.78;0.54;46.49;3.96;348;0;88.00;16
43;0;22998067;43;137;391;407;8.72;0.53;46.49;3.96;348;0;89.00;16
44;0;22998072;44;137;395;413;8.79;0.54;47.48;3.92;351;0;90.00;18
45;0;22998077;45;136;396;413;8.82;0.54;48.44;3.91;351;0;91.00;17
48;0;22998081;48;136;397;413;8.69;0.53;50.90;3.91;349;0;92.00;16
49;0;22998084;49;133;398;414;8.55;0.52;51.76;3.90;349;0;93.00;16
