step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
35;0;22552035;35;126;353;395;8.51;0.52;38.71;4.10;318;0;73.00;42
36;0;22552039;36;119;360;395;8.88;0.54;39.11;4.06;324;0;74.00;35
36;0;22552045;36;119;362;395;9.11;0.56;39.11;4.06;326;0;75.00;33
37;0;22552052;37;115;364;395;9.28;0.57;40.11;4.05;327;0;76.00;31
38;0;22552057;38;113;366;395;9.36;0.57;41.08;4.06;328;0;77.00;29
38;0;22552064;38;114;368;395;9.46;0.57;41.08;4.07;330;0;78.00;27
40;0;22552078;40;117;370;395;9.49;0.58;42.58;4.09;330;0;79.00;25
40;0;22552085;40;119;372;396;9.44;0.57;42.58;4.11;332;0;80.00;24
40;0;22552090;40;123;374;397;9.40;0.57;42.58;4.13;334;0;81.00;23
40;0;22552098;40;128;376;397;9.34;0.57;42.58;4.16;336;0;82.00;21
40;0;22552102;40;128;381;401;9.21;0.56;42.58;4.15;341;0;83.00;20
40;0;22552107;40;126;383;401;9.21;0.56;42.58;4.17;343;0;84.00;18
40;0;22552112;40;128;384;401;9.14;0.56;42.58;4.19;344;0;85.00;17
40;0;22552118;40;128;385;401;9.06;0.55;42.58;4.20;345;0;86.00;16
42;0;22552122;42;128;390;407;9.00;0.55;44.67;4.16;348;0;87.00;17
42;0;22552128;42;132;390;407;8.94;0.55;44.67;4.16;348;0;88.00;17
45;0;22552134;45;132;390;407;8.76;0.53;47.40;4.16;345;0;89.00;17
47;0;22552142;47;132;394;413;8.76;0.53;49.21;4.11;347;0;90.00;19
49;0;22552150;49;130;394;413;8.73;0.53;50.92;4.11;345;0;91.00;19
49;0;22552155;49;130;396;413;8.82;0.54;50.92;4.10;347;0;92.00;17
50;0;22552158;50;131;397;414;8.69;0.53;51.66;4.10;347;0;93.00;17
50;0;22552166;50;131;398;415;8.62;0.52;51.66;4.09;348;0;94.00;17
52;0;22552173;52;131;398;415;8.44;0.51;53.33;4.09;346;0;95.00;17
55;0;22552180;55;137;409;428;8.31;0.50;54.22;3.98;354;0;96.00;19
57;0;22552188;57;135;409;428;8.19;0.50;55.67;3.98;352;0;97.00;19
58;0;22552192;58;136;409;428;8.15;0.49;56.40;3.98;351;0;98.00;19
59;0;22552200;59;137;410;429;8.18;0.50;57.12;3.97;351;0;99.00;19
60;0;22552206;60;139;410;429;8.24;0.50;57.83;3.97;350;0;100.00;19
62;0;22552216;62;136;413;433;8.31;0.51;59.19;3.95;351;0;101.00;20
62;0;22552222;62;137;413;433;8.38;0.51;59.19;3.95;351;0;102.00;20
63;0;22552229;63;136;417;437;8.36;0.51;59.89;3.92;354;0;103.00;20
63;0;22552236;63;132;417;437;8.46;0.52;59.89;3.92;354;0;104.00;20
65;0;22552240;65;127;417;437;8.59;0.52;61.25;3.92;352;0;105.00;20
65;0;22552248;65;123;417;437;8.80;0.54;61.25;3.92;352;0;106.00;20
66;0;22552254;66;114;417;437;8.94;0.54;61.79;3.92;351;0;107.00;20
66;0;22552259;66;107;430;449;9.08;0.55;61.79;4.25;364;0;108.00;19
67;0;22552270;67;102;431;449;9.26;0.56;62.46;4.25;364;0;109.00;18
67;0;22552275;67;97;432;449;9.48;0.58;62.46;4.24;365;0;110.00;17
68;0;22552284;68;94;432;449;9.61;0.59;63.13;4.24;364;0;111.00;17
68;0;22552290;68;91;432;449;9.85;0.60;63.13;4.24;364;0;112.00;17
68;0;22552299;68;86;432;449;10.00;0.61;63.13;4.24;364;0;113.00;17
69;0;22552305;69;84;433;450;10.10;0.61;63.87;4.23;364;0;114.00;17
70;0;22552310;70;82;433;450;10.05;0.61;64.60;4.23;363;0;115.00;17
70;0;22552318;70;77;438;456;10.27;0.63;64.60;4.20;368;0;116.00;18
70;0;22552324;70;72;438;457;10.32;0.63;64.60;4.20;368;0;117.00;19
72;0;22552333;72;66;439;457;10.42;0.63;66.00;4.19;367;0;118.00;18
73;0;22552340;73;66;439;457;10.49;0.64;66.23;4.19;366;0;119.00;18
73;0;22552351;73;67;443;462;10.66;0.65;66.23;4.15;370;0;120.00;19
73;0;22552358;73;68;443;462;10.76;0.66;66.23;4.15;370;0;121.00;19
73;0;22552367;73;67;444;462;10.82;0.66;66.23;4.42;371;0;122.00;18
73;0;22552373;73;70;445;463;10.97;0.67;66.23;4.41;372;0;123.00;18
73;0;22552384;73;72;449;467;11.03;0.68;66.23;4.38;376;0;124.00;18
75;0;22552390;75;73;452;467;11.01;0.67;67.48;4.86;377;0;125.00;15
77;0;22552401;77;74;454;470;11.20;0.68;68.81;4.84;377;0;126.00;16
79;0;22552409;79;77;455;470;11.29;0.69;70.24;4.83;376;0;127.00;15
80;0;22552419;80;76;456;470;11.34;0.69;70.89;5.00;376;0;128.00;14
81;0;22552426;81;78;457;470;11.32;0.69;71.59;5.11;376;0;129.00;13
82;0;22552436;82;81;461;474;11.45;0.70;72.30;5.20;379;0;130.00;13
82;0;22552442;82;82;462;474;11.51;0.70;72.30;5.31;380;0;131.00;12
84;0;22552452;84;83;464;474;11.60;0.71;73.54;5.60;380;0;132.00;10
84;0;22552464;84;85;465;474;11.64;0.71;73.54;5.72;381;0;133.00;9
84;0;22552484;84;86;468;475;11.66;0.71;73.54;5.92;384;0;134.00;7
85;0;22552501;85;88;471;477;11.63;0.71;74.24;5.96;386;0;135.00;6
86;0;22552514;86;88;473;477;11.66;0.71;74.91;6.11;387;0;136.00;4
88;0;22552524;88;90;476;478;11.70;0.72;76.30;6.18;388;0;137.00;2
89;0;22552536;89;91;476;478;11.76;0.72;76.99;6.18;387;0;138.00;2
90;0;22552542;90;93;476;478;11.77;0.72;76.88;6.18;386;0;139.00;2
92;0;22552551;92;96;477;478;11.70;0.72;77.85;6.26;385;0;140.00;1
94;0;22552559;94;95;477;478;11.63;0.71;78.93;6.26;383;0;141.00;1
96;0;22552568;96;96;478;478;11.59;0.71;79.47;6.29;382;0;142.00;0
97;0;22552575;97;96;478;478;11.48;0.71;79.98;6.29;381;0;143.00;0
100;0;22552584;100;122;554;605;10.99;0.69;80.78;5.43;454;0;144.00;51
105;0;22552606;105;115;557;606;10.84;0.68;82.68;5.41;452;0;145.00;49
105;0;22552616;105;111;568;606;10.85;0.68;82.68;5.34;463;0;146.00;38
106;0;22552624;106;110;570;606;10.78;0.68;83.28;5.34;464;0;147.00;36
109;0;22552636;109;111;575;606;10.73;0.67;84.96;5.32;466;0;148.00;31
109;0;22552649;109;108;577;606;10.65;0.67;84.96;5.32;468;0;149.00;29
112;0;22552665;112;109;582;611;10.43;0.65;85.88;5.31;470;0;150.00;29
115;0;22552676;115;109;584;611;10.36;0.65;87.40;5.31;469;0;151.00;27
115;0;22552688;115;110;586;612;10.43;0.65;87.40;5.32;471;0;152.00;26
117;0;22552700;117;113;589;613;10.41;0.65;88.21;5.34;472;0;153.00;24
120;0;22552715;120;113;591;613;10.40;0.65;88.68;5.36;471;0;154.00;22
121;0;22552727;121;113;594;614;10.36;0.64;89.23;5.37;473;0;155.00;20
124;0;22552744;124;118;601;614;10.17;0.63;89.16;5.43;477;0;156.00;13
126;0;22552758;126;122;603;614;10.05;0.62;90.10;5.45;477;0;157.00;11
126;0;22552777;126;129;605;614;10.04;0.62;90.10;5.47;479;0;158.00;9
126;0;22552793;126;131;610;618;10.00;0.62;90.10;5.45;484;0;159.00;8
130;0;22552806;130;138;610;618;9.94;0.62;90.03;5.45;480;0;160.00;8
132;0;22552818;132;143;611;618;9.96;0.62;91.06;5.47;479;0;161.00;7
133;0;22552826;133;151;613;621;9.86;0.61;91.43;5.48;480;0;162.00;8
133;0;22552839;133;155;614;621;9.89;0.61;91.43;5.51;481;0;163.00;7
136;0;22552850;136;159;615;621;9.80;0.61;92.99;5.53;479;0;164.00;6
137;0;22552868;137;163;619;625;9.64;0.60;93.33;5.52;482;0;165.00;6
137;0;22552879;137;162;621;626;9.65;0.60;93.33;5.51;484;0;166.00;5
140;0;22552897;140;163;621;626;9.63;0.60;94.38;5.51;481;0;167.00;5
140;0;22552908;140;160;625;630;9.65;0.60;94.38;5.47;485;0;168.00;5
143;0;22552918;143;157;626;630;9.60;0.59;95.30;5.48;483;0;169.00;4
144;0;22552928;144;157;627;630;9.66;0.60;95.78;5.51;483;0;170.00;3
148;0;22552936;148;153;629;631;9.53;0.59;96.95;5.53;481;0;171.00;2
149;0;22552946;149;153;629;631;9.47;0.59;97.44;5.53;480;0;172.00;2
153;0;22552956;153;153;635;637;9.47;0.58;98.24;5.49;482;0;173.00;2
153;0;22552968;153;155;635;637;9.33;0.58;98.24;5.49;482;0;174.00;2
155;0;22552975;155;143;636;638;9.26;0.57;99.22;5.48;481;0;175.00;2
156;0;22552986;156;139;636;638;9.18;0.57;99.62;5.48;480;0;176.00;2
156;0;22552999;156;134;636;638;9.05;0.56;99.62;5.48;480;0;177.00;2
159;0;22553007;159;131;636;638;9.03;0.56;100.26;5.48;477;0;178.00;2
160;0;22553019;160;132;638;638;8.98;0.55;100.68;5.54;478;0;179.00;0
160;0;22553030;160;132;669;672;9.13;0.57;100.68;5.28;509;0;180.00;3
160;0;22553042;160;128;669;672;9.14;0.57;100.68;5.28;509;0;181.00;3
161;0;22553053;161;126;671;672;9.19;0.57;100.73;5.27;510;0;182.00;1
163;0;22553066;163;126;671;672;9.26;0.57;101.18;5.27;508;0;183.00;1
165;0;22553074;165;126;672;672;9.37;0.58;100.54;5.27;507;0;184.00;0
165;0;22553086;165;123;672;672;9.44;0.58;100.54;5.27;507;0;185.00;0
166;0;22553105;166;120;676;676;9.48;0.59;100.51;5.24;510;0;186.00;0
166;0;22553117;166;119;676;676;9.44;0.58;100.51;5.24;510;0;187.00;0
167;0;22553125;167;119;680;680;9.41;0.58;100.66;5.22;513;0;188.00;0
169;0;22553137;169;126;681;681;9.42;0.58;100.96;5.21;512;0;189.00;0
172;0;22553149;172;134;681;681;9.41;0.58;102.23;5.21;509;0;190.00;0
175;0;22553158;175;142;681;681;9.38;0.58;102.87;5.21;506;0;191.00;0
177;0;22553169;177;154;694;694;9.38;0.58;102.83;5.11;517;0;192.00;0
177;0;22553180;177;153;694;694;9.27;0.57;102.83;5.11;517;0;193.00;0
177;0;22553189;177;157;694;694;9.22;0.57;102.83;5.11;517;0;194.00;0
181;0;22553199;181;160;695;695;9.07;0.56;103.31;5.11;514;0;195.00;0
184;0;22553210;184;164;696;696;8.97;0.55;102.98;5.10;512;0;196.00;0
185;0;22553222;185;171;696;696;8.96;0.55;102.97;5.10;511;0;197.00;0
188;0;22553233;188;178;698;699;8.95;0.55;102.93;5.09;510;0;198.00;1
191;0;22553243;191;176;699;699;8.87;0.54;103.47;5.08;508;0;199.00;0
192;0;22553256;192;178;699;699;8.78;0.54;103.59;5.08;507;0;200.00;0
194;0;22553273;194;186;699;699;8.59;0.53;103.69;5.08;505;0;201.00;0
196;0;22553287;196;192;704;705;8.49;0.52;103.43;5.05;508;0;202.00;1
198;0;22553299;198;196;705;705;8.39;0.52;102.98;5.05;507;0;203.00;0
199;0;22553307;199;203;705;705;8.22;0.51;102.77;5.05;506;0;204.00;0
203;0;22553320;203;212;705;705;8.11;0.50;102.23;5.05;502;0;205.00;0
204;0;22553336;204;218;709;709;8.01;0.49;101.86;5.02;505;0;206.00;0
208;0;22553349;208;223;710;710;7.91;0.48;102.52;5.02;502;0;207.00;0
209;0;22553364;209;228;710;710;7.78;0.48;102.54;5.02;501;0;208.00;0
210;0;22553374;210;229;711;711;7.72;0.47;102.81;5.01;501;0;209.00;0
212;0;22553392;212;231;711;711;7.60;0.47;102.24;5.01;499;0;210.00;0
214;0;22553403;214;239;711;711;7.48;0.46;102.88;5.01;497;0;211.00;0
214;0;22553414;214;241;711;711;7.37;0.45;102.88;5.01;497;0;212.00;0
216;0;22553422;216;244;711;711;7.20;0.44;102.79;5.01;495;0;213.00;0
217;0;22553430;217;246;711;711;7.15;0.44;102.96;5.01;494;0;214.00;0
219;0;22553438;219;252;711;711;7.04;0.43;103.19;5.01;492;0;215.00;0
221;0;22553445;221;264;752;781;7.16;0.44;103.21;4.74;531;0;216.00;29
223;0;22553460;223;264;754;782;7.05;0.44;103.37;4.73;531;0;217.00;28
223;0;22553471;223;266;762;782;7.12;0.44;103.37;4.70;539;0;218.00;20
224;0;22553481;224;269;763;782;7.05;0.44;103.08;4.70;539;0;219.00;19
224;0;22553488;224;273;767;782;7.11;0.44;103.08;4.69;543;0;220.00;15
226;0;22553496;226;277;768;782;7.09;0.44;103.48;4.69;542;0;221.00;14
228;0;22553505;228;266;771;782;7.14;0.44;103.48;4.70;543;0;222.00;11
230;0;22553516;230;263;774;782;7.19;0.44;104.00;4.71;544;0;223.00;8
231;0;22553524;231;243;777;783;7.24;0.45;104.49;4.72;546;0;224.00;6
232;0;22553535;232;233;780;785;7.28;0.45;105.00;4.73;548;0;225.00;5
235;0;22553545;235;232;783;785;7.29;0.45;105.89;4.74;548;0;226.00;2
236;0;22553556;236;235;788;789;7.38;0.45;106.40;4.73;552;0;227.00;1
238;0;22553570;238;230;789;789;7.52;0.46;107.40;4.72;551;0;228.00;0
241;0;22553584;241;231;789;789;7.66;0.47;107.84;4.72;548;0;229.00;0
242;0;22553597;242;230;789;789;7.85;0.48;108.33;4.72;547;0;230.00;0
242;0;22553620;242;213;795;795;8.06;0.49;108.33;4.70;553;0;231.00;0
242;0;22553634;242;207;795;795;8.21;0.50;108.33;4.70;553;0;232.00;0
242;0;22553642;242;194;795;795;8.39;0.51;108.33;4.70;553;0;233.00;0
244;0;22553657;244;186;797;798;8.57;0.52;108.28;4.68;553;0;234.00;1
245;0;22553669;245;182;797;798;8.71;0.53;108.79;4.68;552;0;235.00;1
245;0;22553680;245;176;798;798;8.85;0.54;108.79;4.68;553;0;236.00;0
247;0;22553691;247;166;799;799;8.96;0.55;109.47;4.68;552;0;237.00;0
