tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;53292332#0_0;29.81;13.29;0.00;0.00;240384794_0;57.86;8.50;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;12.00;0.122.0;1;146.34;1.29;0.00;2.92;passenger;;0;0.00;70461.316036;994.613731;6.222685;29.664343;1.406357;0;30.288002
12.00;48484723_1;142.71;19.22;0.00;0.00;48484828#4_1;124.80;19.24;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;222.93;1.15;0.00;0.38;taxi;;0;0.00;36500.602007;314.679423;2.280595;14.098167;0.647303;0;15.689914
19.00;53283046#0_0;165.89;21.56;0.00;0.00;192483968#1_0;0.00;22.40;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;19.00;0.182.0;0;368.27;1.34;0.00;1.92;passenger;;0;0.00;81741.516239;1017.725417;6.633851;33.566547;1.692840;0;35.136749
20.00;53292332#0_0;29.81;14.01;0.00;0.00;--199263543_0;32.57;14.05;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;192.35;1.26;0.00;7.10;passenger;;0;0.00;70127.031108;1088.695741;6.632352;29.666505;1.380693;0;30.144395
21.00;48484723_1;142.71;17.21;0.00;0.00;48484828#4_1;0.00;17.49;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;21.00;0.162.0;0;347.73;1.05;0.00;0.80;passenger;;0;0.00;42333.903905;150.394053;1.513384;14.751438;0.540647;0;18.197519
22.00;53283046#0_0;165.89;18.62;1.00;1.00;192483968#1_0;0.00;12.11;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;21.00;7.1132.0;0;368.27;1.19;0.00;1.90;taxi;;0;0.00;103868.523295;1226.061175;8.030868;42.450053;2.051911;0;44.648121
24.00;53281543_0;136.33;12.65;0.00;0.00;408074469#0_2;0.00;19.28;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;24.00;1.292.0;1;313.79;1.16;0.00;3.03;passenger;;0;0.00;59901.027753;704.090867;4.618419;23.696371;1.006805;0;25.748831
32.00;48484723_1;142.71;19.84;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;29.00;2.150.0;0;335.63;1.20;0.00;11.37;bus;;0;0.00;691581.240145;1021.118946;197.205046;5244.381378;109.671781;0;294.953221
33.00;775830384_1;114.22;18.43;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;33.00;0.281.0;1;403.47;1.16;0.00;11.63;passenger;;1;4.00;119081.214907;1826.284709;11.177951;49.727345;2.369432;0;51.187581
33.00;28639939#0_0;139.89;15.99;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.16;0.00;11.96;passenger;;1;1.00;129717.448717;2092.142954;12.632855;54.603234;2.575542;0;55.759660
