step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;623522858;0;1;88;245;16.12;1.13;-1.00;0.00;88;0;0.00;157
0;0;623522891;0;0;102;245;15.49;1.07;-1.00;0.14;102;0;1.00;143
0;0;623522893;0;1;124;245;14.62;0.99;-1.00;0.47;124;0;2.00;121
0;0;623522894;0;1;137;245;13.75;0.93;-1.00;0.71;137;0;3.00;108
0;0;623522895;0;2;152;245;12.53;0.84;-1.00;1.03;152;0;4.00;93
0;0;623522897;0;5;159;245;11.78;0.79;-1.00;1.21;159;0;5.00;86
0;0;623522898;0;7;171;245;10.78;0.72;-1.00;1.54;171;0;6.00;74
0;0;623522900;0;10;179;245;10.15;0.67;-1.00;1.79;179;0;7.00;66
0;0;623522902;0;18;190;246;9.55;0.63;-1.00;2.15;190;0;8.00;56
0;0;623522905;0;19;194;247;9.30;0.61;-1.00;2.29;194;0;9.00;53
0;0;623522907;0;27;202;247;8.88;0.59;-1.00;2.59;202;0;10.00;45
0;0;623522909;0;27;205;248;8.61;0.57;-1.00;2.67;205;0;11.00;43
1;0;623522911;1;31;210;248;8.46;0.56;12.00;2.89;209;0;12.00;38
2;0;623522914;2;34;212;248;8.40;0.55;12.50;2.99;210;0;13.00;36
2;0;623522916;2;39;217;248;8.28;0.54;12.50;3.24;215;0;14.00;31
2;0;623522919;2;45;223;252;8.20;0.53;12.50;3.40;221;0;15.00;29
2;0;623522923;2;47;225;252;8.14;0.52;12.50;3.51;223;0;16.00;27
2;0;623522925;2;50;229;252;8.00;0.51;12.50;3.69;227;0;17.00;23
2;0;623522928;2;59;231;255;8.03;0.51;12.50;3.73;229;0;18.00;24
2;0;623522931;2;58;235;255;8.00;0.51;12.50;3.99;233;0;19.00;20
3;0;623522934;3;67;237;255;7.97;0.51;15.00;4.13;234;0;20.00;18
4;0;623522936;4;70;242;259;8.20;0.52;16.50;4.14;238;0;21.00;17
5;0;623522940;5;76;244;260;8.18;0.52;17.60;4.20;239;0;22.00;16
5;0;623522949;5;79;245;260;8.18;0.52;17.60;4.28;240;0;23.00;15
6;0;623522952;6;82;250;264;8.32;0.52;18.50;4.29;244;0;24.00;14
6;0;623522955;6;87;251;264;8.53;0.53;18.50;4.37;245;0;25.00;13
6;0;623522958;6;88;253;264;8.61;0.54;18.50;4.49;247;0;26.00;11
6;0;623522961;6;92;253;265;8.70;0.54;18.50;4.49;247;0;27.00;12
6;0;623522964;6;93;254;265;8.67;0.54;18.50;4.58;248;0;28.00;11
6;0;623522967;6;94;259;271;8.64;0.54;18.50;4.51;253;0;29.00;12
6;0;623522972;6;94;260;271;8.63;0.54;18.50;4.54;254;0;30.00;11
8;0;623522975;8;95;261;272;8.51;0.53;21.25;4.53;253;0;31.00;11
8;0;623522979;8;97;262;272;8.50;0.53;21.25;4.63;254;0;32.00;10
9;0;623522981;9;100;264;272;8.53;0.53;22.56;4.85;255;0;33.00;8
9;0;623522984;9;105;265;272;8.54;0.53;22.56;4.96;256;0;34.00;7
10;0;623522987;10;108;267;272;8.48;0.52;23.80;5.04;257;0;35.00;5
11;0;623522990;11;111;276;284;8.63;0.53;24.36;4.88;265;0;36.00;8
11;0;623522994;11;113;277;284;8.65;0.54;24.36;4.93;266;0;37.00;7
12;0;623522997;12;116;279;284;8.59;0.53;25.17;4.91;267;0;38.00;5
14;0;623523000;14;118;280;284;8.45;0.52;26.57;4.94;266;0;39.00;4
14;0;623523003;14;118;280;284;8.43;0.52;26.57;4.94;266;0;40.00;4
14;0;623523006;14;122;281;284;8.32;0.52;26.57;4.94;267;0;41.00;3
14;0;623523010;14;127;285;288;8.26;0.51;26.57;4.88;271;0;42.00;3
