tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
13.00;53292332#0_0;29.81;14.32;0.00;0.00;240384794_0;63.95;5.46;vehroute_0.122.0 tripinfo_0.122.0 routing_0.122.0 emissions_0.122.0;13.00;0.122.0;1;140.25;1.35;0.00;4.41;passenger;;0;0.00;79152.624687;1251.871937;7.601151;33.815266;1.613116;0;34.024022
13.00;48484723_1;142.71;19.18;0.00;0.00;48484828#4_1;107.54;20.28;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;13.00;7.1122.0;0;240.19;1.22;0.00;0.47;taxi;;0;0.00;34201.940291;326.117694;2.315157;13.402022;0.642020;0;14.701808
19.00;48484723_1;142.71;19.44;0.00;0.00;48484828#4_1;0.00;19.82;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;19.00;0.162.0;0;347.73;1.19;0.00;1.04;passenger;;0;0.00;64355.886774;662.132870;4.546427;25.610873;1.224044;0;27.663556
20.00;53292332#0_0;29.81;13.66;0.00;0.00;--199263543_0;33.27;13.94;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;191.65;1.25;0.00;7.25;passenger;;0;0.00;71329.386905;1179.010461;7.066245;30.190323;1.391796;0;30.661303
24.00;53283046#0_0;165.89;15.15;0.00;0.00;192483968#1_0;0.00;16.24;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;24.00;0.182.0;0;368.27;0.97;0.00;1.08;passenger;;0;0.00;53175.599482;449.600192;3.307758;20.604380;0.878132;0;22.857771
26.00;53281543_0;136.33;11.88;0.00;0.00;408074469#0_2;0.00;17.84;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;26.00;1.292.0;1;313.79;1.07;0.00;2.93;passenger;;0;0.00;66234.599661;821.004270;5.297115;26.544142;1.125193;0;28.471346
26.00;53283046#0_0;165.89;19.52;1.00;1.00;192483968#1_0;0.00;13.43;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;25.00;7.1132.0;0;368.27;1.22;0.00;6.12;taxi;;0;0.00;101000.047586;1071.076957;7.244984;40.498064;1.825251;0;43.415227
31.00;48484723_1;142.71;19.61;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;11.15;bus;;0;0.00;667587.324312;986.996550;189.982163;5065.521914;105.942836;0;284.719012
32.00;775830384_1;114.22;21.72;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;32.00;0.281.0;1;403.47;1.35;0.00;13.17;passenger;;1;4.00;133792.702914;2134.070222;12.956163;56.324588;2.774042;0;57.511306
33.00;28639939#0_0;139.89;15.86;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.22;0.00;13.51;passenger;;2;2.00;126626.250863;2213.804267;13.100764;53.920322;2.575662;0;54.430921
36.00;53283046#0_1;165.89;19.83;7.00;7.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;10.81;bus;;0;0.00;674413.726502;991.138257;190.838705;5106.725453;106.497705;0;287.632064
37.00;775830384_1;114.22;18.98;4.00;4.00;53281545#2_0;0.00;4.88;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;33.00;6.1161.0;1;398.70;1.19;0.00;11.86;taxi;;0;0.00;158832.924464;2392.072992;14.702721;65.813960;3.105240;0;68.275090
39.00;37022128_0;106.30;17.14;3.00;3.00;53281545#2_0;0.00;9.05;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;36.00;0.285.0;1;390.07;1.10;0.00;13.64;passenger;;1;4.00;129685.016227;2401.326335;13.992400;54.217957;2.568665;0;55.746020
39.00;28639939#0_0;139.89;15.80;5.00;5.00;53281545#2_0;0.00;1.30;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;34.00;6.1162.0;1;341.71;1.15;0.00;12.50;taxi;;1;2.00;144751.858693;2579.398520;15.216963;62.005772;2.974139;0;62.222284
42.00;-292382413_0;152.29;12.49;2.00;2.00;53281545#2_1;0.00;12.88;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;40.00;0.284.0;1;410.56;1.20;0.00;13.57;passenger;;0;0.00;139105.019187;2207.846810;13.370029;58.171057;2.688372;0;59.795024
44.00;775830384_1;114.22;18.94;21.00;0.43;53281545#2_1;0.00;19.56;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;23.00;0.281.1;1;398.70;1.17;0.00;1.33;passenger;;0;0.00;71640.145438;790.813689;5.275882;28.851643;1.364700;0;30.794719
45.00;37022128_0;106.30;19.15;9.00;9.00;53281545#2_0;0.00;1.28;vehroute_6.1164.0 tripinfo_6.1164.0 routing_6.1164.0 emissions_6.1164.0;36.00;6.1164.0;1;397.92;1.22;0.00;15.39;taxi;;0;0.00;174557.122938;3037.267288;17.991093;74.332298;3.583470;0;75.034200
47.00;53292418_0;332.16;14.99;1.00;1.00;--199263543_0;0.00;9.82;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;46.00;0.84.0;1;624.08;1.41;0.00;9.49;passenger;;0;0.00;155591.218070;1954.228180;12.555592;63.185009;2.827699;0;66.881603
49.00;53292419_0;342.11;11.82;0.00;0.00;--199263543_0;68.39;12.18;vehroute_0.83.0 tripinfo_0.83.0 routing_0.83.0 emissions_0.83.0;49.00;0.83.0;1;516.16;1.10;0.00;9.47;passenger;;0;0.00;136114.563800;2005.530036;12.353512;56.115555;2.489926;0;58.509632
49.00;-292382413_0;152.29;12.04;7.00;7.00;53281545#2_0;0.00;1.25;vehroute_6.1163.0 tripinfo_6.1163.0 routing_6.1163.0 emissions_6.1163.0;42.00;6.1163.0;1;418.41;1.12;0.00;14.20;taxi;;0;0.00;143171.705368;2406.301720;14.353065;59.727777;2.713050;0;61.543286
52.00;-37061736#7_0;33.63;13.70;0.00;0.00;583371595#1_0;48.88;20.85;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;52.00;0.33.0;1;882.13;1.25;0.00;7.53;passenger;;0;0.00;152306.442950;1498.821367;10.390798;59.891616;2.724450;0;65.469506
53.00;-53292327_0;316.56;13.64;2.00;2.00;--199263543_0;0.00;7.87;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;51.00;0.85.0;1;679.97;1.34;0.00;9.46;passenger;;0;0.00;187428.001687;2580.831308;16.237614;77.962493;3.663258;0;80.566581
55.00;775830384_0;114.22;7.31;0.00;0.00;-28639939#0_0;12.10;0.00;vehroute_2.250.0 tripinfo_2.250.0 routing_2.250.0 emissions_2.250.0;55.00;2.250.0;1;336.50;1.20;15.00;19.48;bus;;0;0.00;866852.010202;1512.500342;303.380778;6970.510944;159.005296;0;369.654162
