interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;6.64;0;5.00;1;2;17.78;6.64
0.00;30.00;120.00;6.45;1;5.00;1;2;23.04;6.45
0.00;30.00;120.00;7.04;2;5.00;1;2;33.30;7.04
0.00;30.00;120.00;6.94;3;5.00;1;2;30.02;6.94
0.00;30.00;120.00;4.41;4;5.00;1;1;3.78;4.41
0.00;30.00;120.00;5.02;5;5.00;1;1;3.32;5.02
0.00;30.00;0.00;-1.00;6;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.47;8;5.00;1;1;1.76;9.47
0.00;30.00;120.00;8.15;9;12.00;1;1;4.91;8.15
0.00;30.00;840.00;3.76;10;6.00;7;8;35.58;5.96
0.00;30.00;480.00;2.80;11;5.00;4;4;23.77;7.08
0.00;30.00;120.00;7.96;12;5.00;1;1;2.09;7.96
0.00;30.00;0.00;-1.00;13;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;600.00;14.22;110;5.00;5;5;5.86;14.53
0.00;30.00;240.00;13.56;111;5.00;2;2;2.46;13.56
0.00;30.00;240.00;14.09;112;5.00;2;2;2.37;14.09
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;16;-1.00;0;1;1.36;-1.00
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;14.81;20;5.00;2;3;2.27;14.84
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;720.00;15.71;23;5.00;6;6;6.36;15.90
0.00;30.00;240.00;7.98;24;5.00;2;2;4.18;8.00
0.00;30.00;0.00;-1.00;25;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.00;28;5.00;1;2;40.50;5.00
0.00;30.00;120.00;5.14;29;5.00;1;2;20.91;5.14
0.00;30.00;120.00;4.41;30;5.00;1;1;3.78;4.41
0.00;30.00;0.00;-1.00;31;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;17.23;150;5.00;1;1;0.97;17.23
0.00;30.00;240.00;18.10;151;8.50;2;2;3.10;18.11
0.00;30.00;600.00;8.91;152;6.40;5;6;13.95;9.80
0.00;30.00;960.00;10.84;153;5.88;8;8;13.80;13.53
0.00;30.00;120.00;16.43;32;5.00;1;1;1.01;16.43
0.00;30.00;0.00;-1.00;33;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
0.00;30.00;1080.00;15.25;36;5.00;9;9;9.84;15.44
0.00;30.00;120.00;16.26;37;5.00;1;1;1.03;16.26
0.00;30.00;0.00;-1.00;38;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;8.71;40;5.00;1;1;1.91;8.71
0.00;30.00;0.00;-1.00;41;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;42;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;43;-1.00;0;0;0.00;-1.00
0.00;30.00;1200.00;7.83;44;5.00;10;10;21.29;8.89
0.00;30.00;120.00;9.34;45;5.00;1;1;1.78;9.34
0.00;30.00;0.00;-1.00;46;-1.00;0;0;0.00;-1.00
