tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;48484723_1;142.71;20.79;0.00;0.00;48484828#4_1;112.24;21.96;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;235.49;1.32;0.00;0.39;taxi;;0;0.00;32291.830753;219.217575;1.733386;11.750723;0.551718;0;13.880797
21.00;53292332#0_0;29.81;12.08;0.00;0.00;--199263543_0;30.86;13.31;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;194.06;1.20;0.00;7.42;passenger;;0;0.00;69861.820778;1227.173050;7.257031;29.924208;1.411293;0;30.030446
21.00;53281543_0;136.33;13.92;0.00;0.00;408074469#0_1;0.00;21.69;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;21.00;1.292.0;1;313.79;1.30;0.00;2.64;passenger;;0;0.00;45935.821702;519.114062;3.457926;18.311030;0.815222;0;19.745730
22.00;48484723_1;142.71;16.00;0.00;0.00;48484828#4_1;0.00;16.71;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;22.00;0.162.0;0;347.73;1.00;0.00;0.73;passenger;;0;0.00;42914.563657;294.305017;2.303943;16.098373;0.659479;0;18.447048
22.00;53283046#0_0;165.89;20.47;0.00;0.00;192483968#1_0;0.00;21.32;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;22.00;0.182.0;0;368.27;1.28;0.00;4.59;passenger;;0;0.00;88011.957958;1198.371418;7.593280;36.825114;1.812138;0;37.832136
24.00;53283046#0_0;165.89;19.63;2.00;2.00;192483968#1_0;0.00;13.69;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;22.00;7.1132.0;0;368.27;1.23;0.00;3.61;taxi;;0;0.00;112931.566583;1435.586082;9.275153;46.989849;2.289811;0;48.543855
32.00;48484723_1;142.71;19.89;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;29.00;2.150.0;0;335.63;1.20;0.00;11.46;bus;;0;0.00;701975.735184;1033.704381;198.570873;5319.644942;111.004523;0;299.385996
34.00;775830384_1;114.22;19.17;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;34.00;0.281.0;1;406.55;1.19;0.00;12.84;passenger;;1;1.00;145395.508643;2180.639454;13.325855;60.177635;2.833001;0;62.498943
34.00;28639939#0_0;139.89;15.50;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;34.00;0.283.0;1;333.86;1.13;0.00;12.91;passenger;;1;4.00;127020.847391;2127.057506;12.711185;53.093242;2.456208;0;54.600675
35.00;775830384_2;114.22;18.56;4.00;4.00;53281545#2_0;0.00;4.09;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;31.00;6.1161.0;1;398.70;1.17;0.00;9.53;taxi;;0;0.00;132607.393414;2109.241392;12.759438;55.251063;2.620915;0;57.001956
35.00;53283046#0_1;165.89;19.74;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;10.23;bus;;0;0.00;689315.445236;1002.890568;192.735085;5202.078301;107.919606;0;293.989869
38.00;37022128_0;106.30;17.81;3.00;3.00;53281545#2_0;0.00;7.96;vehroute_0.285.0 tripinfo_0.285.0 routing_0.285.0 emissions_0.285.0;35.00;0.285.0;1;397.92;1.11;0.00;12.90;passenger;;0;0.00;160555.741334;2577.390228;15.554569;67.548146;3.207331;0;69.015617
39.00;28639939#0_0;139.89;17.63;5.00;5.00;53281545#2_0;0.00;1.25;vehroute_6.1162.0 tripinfo_6.1162.0 routing_6.1162.0 emissions_6.1162.0;34.00;6.1162.0;1;341.71;1.29;0.00;14.69;taxi;;0;0.00;156811.324269;2644.085827;15.779022;65.907148;3.065592;0;67.406241
41.00;-292382413_0;152.29;13.69;2.00;2.00;53281545#2_1;0.00;13.30;vehroute_0.284.0 tripinfo_0.284.0 routing_0.284.0 emissions_0.284.0;39.00;0.284.0;1;410.56;1.27;0.00;14.00;passenger;;1;1.00;153770.777343;2412.029031;14.663151;64.853856;3.044572;0;66.099033
43.00;775830384_1;114.22;19.32;21.00;0.43;53281545#2_1;0.00;20.50;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;22.00;0.281.1;1;398.70;1.23;0.00;1.58;passenger;;0;0.00;70237.272442;722.593352;4.961310;27.918756;1.329028;0;30.191695
