tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
50.00;53292418_0;332.16;14.74;1.00;1.00;--199263543_0;0.00;10.15;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;49.00;0.84.0;1;624.08;1.35;0.00;10.48;passenger;;0;0.00;174997.540704;2322.702182;14.748604;72.217359;3.283427;0;75.223408
54.00;-37061736#7_0;33.63;11.96;0.00;0.00;583371595#1_0;60.29;19.72;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;54.00;0.33.0;1;873.25;1.18;0.00;7.93;passenger;;0;0.00;179955.798220;1997.509632;13.306306;71.573443;3.292999;0;77.354732
55.00;53283046#0_0;165.89;20.33;36.00;0.00;192483968#1_0;0.00;20.75;vehroute_0.182.1 tripinfo_0.182.1 routing_0.182.1 emissions_0.182.1;19.00;0.182.1;0;368.27;1.24;0.00;0.49;passenger;;0;0.00;48364.425521;319.392101;2.592588;17.816483;0.814267;0;20.789667
57.00;28639939#0_0;139.89;16.23;24.00;24.00;53281545#2_0;12.10;0.00;vehroute_2.350.0 tripinfo_2.350.0 routing_2.350.0 emissions_2.350.0;33.00;2.350.0;1;329.61;1.20;0.00;13.90;bus;;0;0.00;755249.024608;1148.260505;222.143315;5785.263118;122.758166;0;322.098479
58.00;775830384_0;114.22;8.47;0.00;0.00;-28639939#0_0;12.10;0.00;vehroute_2.250.0 tripinfo_2.250.0 routing_2.250.0 emissions_2.250.0;58.00;2.250.0;1;336.50;1.20;15.00;21.98;bus;;0;0.00;848860.814279;1517.416247;309.319343;6883.518005;159.290041;0;361.977905
60.00;-53292327_0;316.56;12.14;2.00;2.00;--199263543_0;0.00;7.06;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;58.00;0.85.0;1;679.97;1.16;0.00;11.48;passenger;;0;0.00;202893.029957;2752.882623;17.335855;82.910667;3.644465;0;87.214674
62.00;-49030944#2_0;126.35;18.59;0.00;0.00;-47826546_0;33.15;12.80;vehroute_1.550.0 tripinfo_1.550.0 routing_1.550.0 emissions_1.550.0;62.00;1.550.0;1;730.45;1.15;0.00;7.25;passenger;;0;0.00;187769.650729;2336.772368;15.060303;75.172951;3.190580;0;80.713944
63.00;50172050#0_0;132.31;13.02;0.00;0.00;192483968#1_1;64.96;19.72;vehroute_0.185.0 tripinfo_0.185.0 routing_0.185.0 emissions_0.185.0;63.00;0.185.0;1;1061.35;1.18;0.00;4.19;passenger;;0;0.00;197033.255853;1822.895236;12.919380;76.216312;3.416371;0;84.695625
63.00;-49030944#2_0;126.35;19.86;0.00;0.00;-47826546_0;0.00;13.43;vehroute_1.530.0 tripinfo_1.530.0 routing_1.530.0 emissions_1.530.0;63.00;1.530.0;1;772.29;1.21;0.00;9.58;passenger;;0;0.00;187045.839850;2476.965121;15.725119;76.608087;3.433344;0;80.402540
64.00;-49049137_0;228.40;11.35;3.00;3.00;--199263543_0;0.00;1.79;vehroute_0.86.0 tripinfo_0.86.0 routing_0.86.0 emissions_0.86.0;61.00;0.86.0;1;666.79;1.04;0.00;11.80;passenger;;0;0.00;197893.418098;2954.378950;18.126699;81.024095;3.562332;0;85.065771
