step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;209417104;0;1;87;246;16.03;1.13;-1.00;0.00;87;0;0.00;158
0;0;209417129;0;1;98;246;15.29;1.07;-1.00;0.11;98;0;1.00;147
0;0;209417130;0;0;118;246;14.62;1.00;-1.00;0.43;118;0;2.00;127
0;0;209417131;0;2;128;246;13.74;0.93;-1.00;0.63;128;0;3.00;117
0;0;209417132;0;3;144;246;12.51;0.84;-1.00;1.01;144;0;4.00;101
0;0;209417134;0;3;153;246;11.66;0.78;-1.00;1.24;153;0;5.00;92
0;0;209417135;0;5;165;246;10.75;0.72;-1.00;1.59;165;0;6.00;80
0;0;209417137;0;12;173;246;10.31;0.69;-1.00;1.84;173;0;7.00;72
0;0;209417138;0;20;182;247;9.61;0.64;-1.00;2.14;182;0;8.00;64
0;0;209417140;0;21;189;248;9.33;0.62;-1.00;2.40;189;0;9.00;58
0;0;209417142;0;26;196;248;9.04;0.60;-1.00;2.67;196;0;10.00;51
0;0;209417144;0;33;201;249;8.92;0.59;-1.00;2.83;201;0;11.00;47
0;0;209417146;0;31;204;249;8.92;0.59;-1.00;2.96;204;0;12.00;44
1;0;209417149;1;35;208;249;8.59;0.56;13.00;3.15;207;0;13.00;40
2;0;209417151;2;39;210;249;8.43;0.55;13.50;3.26;208;0;14.00;38
2;0;209417153;2;44;218;253;8.27;0.53;13.50;3.56;216;0;15.00;34
2;0;209417156;2;48;222;253;8.31;0.53;13.50;3.78;220;0;16.00;30
2;0;209417159;2;53;225;253;8.28;0.53;13.50;3.96;223;0;17.00;27
3;0;209417162;3;57;228;256;8.14;0.52;15.00;4.14;225;0;18.00;27
3;0;209417165;3;63;230;256;8.08;0.51;15.00;4.24;227;0;19.00;25
3;0;209417167;3;65;235;256;7.96;0.50;15.00;4.44;232;0;20.00;20
4;0;209417170;4;71;240;260;8.01;0.50;16.50;4.45;236;0;21.00;19
5;0;209417174;5;74;242;261;7.94;0.50;17.60;4.51;237;0;22.00;18
6;0;209417177;6;78;242;261;7.83;0.49;18.33;4.51;236;0;23.00;18
6;0;209417179;6;82;248;265;7.75;0.49;18.33;4.69;242;0;24.00;16
6;0;209417183;6;85;250;265;7.75;0.49;18.33;4.76;244;0;25.00;14
6;0;209417185;6;88;252;265;7.86;0.49;18.33;4.87;246;0;26.00;12
6;0;209417188;6;91;252;266;8.02;0.50;18.33;4.87;246;0;27.00;13
6;0;209417192;6;91;252;266;8.17;0.51;18.33;4.87;246;0;28.00;13
6;0;209417195;6;91;257;272;8.23;0.52;18.33;4.80;251;0;29.00;14
6;0;209417200;6;93;258;272;8.16;0.51;18.33;4.90;252;0;30.00;13
7;0;209417203;7;95;259;273;8.11;0.51;19.71;4.88;252;0;31.00;13
7;0;209417206;7;99;259;273;8.13;0.51;19.71;4.88;252;0;32.00;13
8;0;209417209;8;100;261;273;8.08;0.50;21.38;5.03;253;0;33.00;11
9;0;209417212;9;103;262;273;8.23;0.51;22.78;5.14;253;0;34.00;10
9;0;209417215;9;106;262;273;8.39;0.52;22.78;5.14;253;0;35.00;10
10;0;209417217;10;106;274;285;8.63;0.53;23.40;5.18;264;0;36.00;10
