interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;8.41;0;5.00;1;2;4.52;8.41
0.00;30.00;120.00;6.91;1;5.00;1;2;16.39;6.91
0.00;30.00;120.00;7.41;2;5.00;1;2;22.43;7.41
0.00;30.00;120.00;6.94;3;5.00;1;2;36.56;6.94
0.00;30.00;120.00;6.05;4;5.00;1;1;2.75;6.05
0.00;30.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.62;6;5.00;1;1;2.97;5.62
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.49;8;5.00;1;1;1.76;9.49
0.00;30.00;120.00;8.49;9;12.00;1;1;4.71;8.49
0.00;30.00;720.00;2.86;10;6.17;6;7;39.43;5.84
0.00;30.00;600.00;2.60;11;5.00;5;5;31.99;6.23
0.00;30.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;10.21;13;5.00;1;1;1.63;10.21
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;14.20;110;5.00;3;3;3.52;14.26
0.00;30.00;0.00;-1.00;111;-1.00;0;0;0.00;-1.00
0.00;30.00;720.00;14.10;112;5.00;6;6;7.09;14.15
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;16;-1.00;0;1;0.74;-1.00
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;20;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;960.00;15.26;23;5.00;8;8;8.74;15.31
0.00;30.00;120.00;8.97;24;5.00;1;1;1.86;8.97
0.00;30.00;120.00;9.24;25;5.00;1;1;1.80;9.24
0.00;30.00;0.00;-1.00;26;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.67;28;5.00;1;2;16.75;5.67
0.00;30.00;120.00;4.78;29;5.00;1;1;3.48;4.78
0.00;30.00;120.00;4.24;30;5.00;1;2;35.30;4.24
0.00;30.00;120.00;4.78;31;5.00;1;1;3.49;4.78
0.00;30.00;240.00;18.46;150;5.00;2;2;1.81;18.47
0.00;30.00;120.00;19.08;151;12.00;1;1;2.10;19.08
0.00;30.00;600.00;8.38;152;6.40;5;5;15.81;10.41
0.00;30.00;1080.00;15.33;153;5.78;9;9;11.22;15.62
0.00;30.00;0.00;-1.00;32;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;20.93;33;5.00;1;1;0.80;20.93
0.00;30.00;0.00;-1.00;34;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;13.54;36;5.00;3;3;3.69;13.72
0.00;30.00;720.00;15.50;37;5.00;6;6;6.45;15.53
0.00;30.00;120.00;16.52;38;5.00;1;1;1.01;16.52
0.00;30.00;0.00;-1.00;40;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;41;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;20.71;42;5.00;1;1;0.80;20.71
0.00;30.00;0.00;-1.00;43;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;4.91;44;5.00;2;3;8.13;4.92
0.00;30.00;1080.00;8.53;45;5.00;9;9;17.59;9.18
0.00;30.00;120.00;20.90;46;5.00;1;1;0.80;20.90
0.00;30.00;240.00;4.13;47;5.00;2;3;78.51;4.19
0.00;30.00;120.00;3.26;48;5.00;1;2;85.67;3.26
0.00;30.00;120.00;6.04;49;5.00;1;2;82.83;6.04
0.00;30.00;0.00;-1.00;50;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;51;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;52;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;54;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;55;-1.00;0;0;0.00;-1.00
0.00;30.00;240.00;20.72;56;5.00;2;2;1.61;20.75
0.00;30.00;0.00;-1.00;57;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;58;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;59;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;60;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;61;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;62;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;63;-1.00;0;0;0.00;-1.00
