tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;48484723_1;142.71;20.37;0.00;0.00;48484828#4_1;110.97;20.63;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;236.76;1.24;0.00;0.34;taxi;;0;0.00;36474.415994;295.474150;2.229513;13.876201;0.653160;0;15.678665
19.00;48484723_1;142.71;19.29;0.00;0.00;48484828#4_1;0.00;20.11;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;19.00;0.162.0;0;347.73;1.21;0.00;0.95;passenger;;0;0.00;65799.793922;680.187248;4.694596;26.213110;1.263776;0;28.284218
20.00;53292332#0_0;29.81;11.22;0.00;0.00;--199263543_0;30.43;12.46;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;20.00;0.82.0;1;194.49;1.12;0.00;5.36;passenger;;0;0.00;66269.027201;1046.330006;6.336484;27.715978;1.252828;0;28.486109
22.00;53283046#0_0;165.89;17.59;0.00;0.00;192483968#1_0;0.00;18.17;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;22.00;0.182.0;0;368.27;1.09;0.00;1.26;passenger;;0;0.00;56639.744434;553.273542;3.781943;22.334032;1.017086;0;24.346785
24.00;53281543_0;136.33;12.50;0.00;0.00;408074469#0_1;0.00;19.35;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;24.00;1.292.0;1;313.79;1.16;0.00;2.95;passenger;;0;0.00;65018.404628;818.224979;5.221466;26.393342;1.173503;0;27.948465
24.00;53283046#0_0;165.89;19.98;2.00;2.00;192483968#1_0;0.00;13.94;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;22.00;7.1132.0;0;368.27;1.21;0.00;3.50;taxi;;0;0.00;114726.094403;1411.228940;9.204483;47.341601;2.289438;0;49.315269
31.00;28639939#0_0;139.89;17.45;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;31.00;0.283.0;1;333.86;1.30;0.00;12.82;passenger;;1;4.00;132083.745368;2068.782206;12.593364;55.718325;2.657400;0;56.776729
31.00;48484723_1;142.71;19.58;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;11.20;bus;;0;0.00;673495.129614;994.121277;190.758166;5108.242159;106.698112;0;287.238433
34.00;775830384_1;114.22;19.62;4.00;4.00;53281545#2_0;0.00;4.57;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;30.00;6.1161.0;1;398.70;1.18;0.00;9.17;taxi;;0;0.00;130849.107583;1986.688282;12.126973;53.985246;2.560416;0;56.246137
36.00;53283046#0_1;165.89;19.80;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;30.00;3.450.0;0;356.19;1.20;0.00;11.32;bus;;0;0.00;683238.486020;1006.146038;192.040667;5179.245190;107.965059;0;291.393421
