tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;48484723_1;142.71;18.60;0.00;0.00;48484828#4_1;127.81;19.84;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;219.92;1.19;0.00;0.51;taxi;;0;0.00;33068.581607;232.620321;1.854706;12.417836;0.559172;0;14.214669
17.00;48484723_1;142.71;19.97;0.00;0.00;48484828#4_1;0.00;21.23;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;17.00;0.162.0;0;347.73;1.27;0.00;0.48;passenger;;0;0.00;36456.286623;293.676620;2.223156;13.789505;0.656315;0;15.670876
20.00;53283046#0_0;165.89;20.29;0.00;0.00;192483968#1_0;0.00;21.57;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;20.00;0.182.0;0;368.27;1.29;0.00;2.03;passenger;;0;0.00;88276.450387;946.942229;6.430430;35.180748;1.709844;0;37.945880
21.00;53292332#0_0;29.81;9.22;0.00;0.00;--199263543_0;28.19;10.43;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;196.73;0.94;0.00;4.11;passenger;;0;0.00;68074.681207;1201.241502;7.073932;28.389190;1.258925;0;29.262420
23.00;53281543_0;136.33;12.23;0.00;0.00;408074469#0_1;0.00;20.12;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;23.00;1.292.0;1;313.79;1.21;0.00;3.00;passenger;;0;0.00;70748.761751;919.232042;5.882051;29.253764;1.361316;0;30.411593
23.00;53283046#0_0;165.89;18.99;2.00;2.00;192483968#1_0;0.00;11.24;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;21.00;7.1132.0;0;368.27;1.17;0.00;1.86;taxi;;0;0.00;118126.688222;1502.989083;9.699306;49.150200;2.423616;0;50.776962
31.00;48484723_1;142.71;19.97;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;10.68;bus;;0;0.00;698053.699142;1022.136931;197.988647;5277.646553;109.971864;0;297.716578
32.00;28639939#0_0;139.89;17.17;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;32.00;0.283.0;1;333.86;1.24;0.00;12.44;passenger;;1;4.00;138432.568710;2182.941322;13.271430;58.653562;2.819732;0;59.505752
35.00;775830384_1;114.22;18.50;4.00;4.00;53281545#2_0;0.00;4.93;vehroute_6.1161.0 tripinfo_6.1161.0 routing_6.1161.0 emissions_6.1161.0;31.00;6.1161.0;1;398.70;1.18;0.00;9.52;taxi;;1;1.00;128649.605579;1972.843020;11.976237;53.055682;2.507038;0;55.300692
35.00;53283046#0_1;165.89;19.56;6.00;6.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;29.00;3.450.0;0;356.19;1.20;0.00;11.01;bus;;0;0.00;704057.432294;1036.405318;202.866547;5330.089918;111.543986;0;300.277910
