interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;30.00;120.00;7.37;0;5.00;1;2;3.50;7.37
0.00;30.00;120.00;7.57;1;5.00;1;2;18.94;7.57
0.00;30.00;120.00;7.78;2;5.00;1;2;10.80;7.78
0.00;30.00;120.00;7.28;3;5.00;1;2;29.18;7.28
0.00;30.00;120.00;4.04;4;5.00;1;1;4.13;4.04
0.00;30.00;0.00;-1.00;5;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;5.52;6;5.00;1;1;3.02;5.52
0.00;30.00;0.00;-1.00;7;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.68;8;5.00;1;1;1.72;9.68
0.00;30.00;120.00;8.55;9;12.00;1;1;4.68;8.55
0.00;30.00;720.00;3.80;10;6.17;6;6;29.68;6.99
0.00;30.00;600.00;3.27;11;5.00;5;5;25.49;6.84
0.00;30.00;0.00;-1.00;12;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;9.29;13;5.00;1;1;1.79;9.29
0.00;30.00;0.00;-1.00;14;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;15;-1.00;0;0;0.00;-1.00
0.00;30.00;360.00;17.12;110;5.00;3;3;2.92;17.16
0.00;30.00;0.00;-1.00;111;-1.00;0;1;0.22;-1.00
0.00;30.00;720.00;8.77;112;5.00;6;6;11.40;11.77
0.00;30.00;0.00;-1.00;113;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;3.46;16;5.00;1;1;4.81;3.46
0.00;30.00;0.00;-1.00;17;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;18;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;19;-1.00;0;0;0.00;-1.00
0.00;30.00;120.00;13.73;20;5.00;1;1;1.21;13.73
0.00;30.00;0.00;-1.00;21;-1.00;0;0;0.00;-1.00
0.00;30.00;0.00;-1.00;22;-1.00;0;0;0.00;-1.00
0.00;30.00;840.00;15.24;23;5.00;7;7;7.66;15.31
0.00;30.00;120.00;8.33;24;5.00;1;1;2.00;8.33
