step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;622081423;0;1;88;245;16.08;1.13;-1.00;0.00;88;0;0.00;157
0;0;622081457;0;1;102;245;15.08;1.04;-1.00;0.14;102;0;1.00;143
0;0;622081459;0;1;123;245;14.40;0.98;-1.00;0.46;123;0;2.00;122
0;0;622081460;0;3;134;245;13.51;0.91;-1.00;0.66;134;0;3.00;111
0;0;622081461;0;4;148;245;12.47;0.84;-1.00;0.98;148;0;4.00;97
0;0;622081463;0;5;157;245;11.62;0.78;-1.00;1.21;157;0;5.00;88
0;0;622081464;0;7;169;245;10.77;0.72;-1.00;1.55;169;0;6.00;76
0;0;622081466;0;14;175;245;10.14;0.67;-1.00;1.74;175;0;7.00;70
0;0;622081467;0;19;185;246;9.55;0.63;-1.00;2.08;185;0;8.00;61
0;0;622081471;0;21;190;247;9.29;0.61;-1.00;2.26;190;0;9.00;57
0;0;622081473;0;24;197;247;9.14;0.60;-1.00;2.53;197;0;10.00;50
0;0;622081475;0;26;203;248;8.91;0.59;-1.00;2.73;203;0;11.00;45
1;0;622081477;1;31;210;248;8.71;0.57;12.00;3.04;209;0;12.00;38
2;0;622081479;2;35;214;248;8.52;0.55;12.50;3.23;212;0;13.00;34
2;0;622081482;2;38;216;248;8.52;0.55;12.50;3.33;214;0;14.00;32
2;0;622081484;2;48;224;252;8.33;0.54;12.50;3.62;222;0;15.00;28
2;0;622081487;2;49;225;252;8.29;0.53;12.50;3.68;223;0;16.00;27
2;0;622081490;2;55;229;252;8.21;0.52;12.50;3.91;227;0;17.00;23
2;0;622081493;2;58;231;255;8.12;0.52;12.50;4.03;229;0;18.00;24
2;0;622081496;2;66;232;255;8.17;0.52;12.50;4.09;230;0;19.00;23
3;0;622081498;3;69;236;255;8.11;0.51;15.00;4.20;233;0;20.00;19
5;0;622081501;5;75;242;259;8.11;0.51;17.20;4.29;237;0;21.00;17
6;0;622081504;6;79;244;260;8.05;0.51;18.00;4.34;238;0;22.00;16
6;0;622081508;6;82;246;260;8.17;0.51;18.00;4.50;240;0;23.00;14
6;0;622081510;6;84;248;264;8.24;0.52;18.00;4.46;242;0;24.00;16
6;0;622081514;6;85;250;264;8.36;0.52;18.00;4.43;244;0;25.00;14
6;0;622081517;6;88;250;264;8.34;0.52;18.00;4.43;244;0;26.00;14
7;0;622081519;7;93;251;265;8.30;0.52;19.29;4.52;244;0;27.00;14
7;0;622081523;7;93;252;265;8.23;0.51;19.29;4.56;245;0;28.00;13
7;0;622081526;7;92;257;271;8.14;0.51;19.29;4.49;250;0;29.00;14
8;0;622081531;8;94;258;271;7.98;0.50;20.25;4.59;250;0;30.00;13
8;0;622081534;8;97;259;272;7.94;0.49;20.25;4.58;251;0;31.00;13
9;0;622081538;9;100;260;272;7.85;0.49;21.56;4.61;251;0;32.00;12
10;0;622081541;10;104;260;272;7.78;0.48;22.70;4.61;250;0;33.00;12
10;0;622081544;10;106;261;272;7.80;0.48;22.70;4.72;251;0;34.00;11
11;0;622081546;11;113;261;272;7.75;0.48;23.27;4.72;250;0;35.00;11
11;0;622081550;11;115;272;284;7.92;0.49;23.27;4.67;261;0;36.00;12
12;0;622081554;12;116;272;284;7.77;0.48;24.00;4.67;260;0;37.00;12
12;0;622081557;12;118;272;284;7.71;0.48;24.00;4.67;260;0;38.00;12
12;0;622081560;12;120;274;284;7.62;0.47;24.00;4.92;262;0;39.00;10
12;0;622081563;12;124;274;284;7.60;0.47;24.00;4.92;262;0;40.00;10
14;0;622081565;14;127;275;284;7.45;0.46;25.71;4.95;261;0;41.00;9
14;0;622081568;14;127;280;288;7.50;0.47;25.71;5.02;266;0;42.00;8
16;0;622081572;16;130;280;288;7.29;0.45;26.38;5.02;264;0;43.00;8
17;0;622081575;17;134;284;292;7.16;0.45;27.00;5.08;267;0;44.00;8
18;0;622081579;18;136;286;294;6.99;0.43;28.00;5.14;268;0;45.00;8
19;0;622081582;19;137;286;294;6.88;0.43;28.84;5.14;267;0;46.00;8
19;0;622081585;19;139;287;294;6.89;0.43;28.84;5.20;268;0;47.00;7
19;0;622081588;19;144;297;307;7.21;0.45;28.84;5.06;278;0;48.00;10
19;0;622081592;19;150;299;307;7.23;0.45;28.84;5.07;280;0;49.00;8
20;0;622081594;20;149;300;307;7.12;0.44;29.05;5.07;280;0;50.00;7
20;0;622081597;20;148;302;308;7.16;0.44;29.05;5.07;282;0;51.00;6
20;0;622081600;20;148;304;309;7.19;0.45;29.05;5.05;284;0;52.00;5
22;0;622081603;22;149;304;309;7.13;0.44;29.55;5.05;282;0;53.00;5
22;0;622081606;22;150;306;312;7.20;0.45;29.55;5.02;284;0;54.00;6
24;0;622081609;24;151;306;312;7.10;0.44;30.67;5.02;282;0;55.00;6
24;0;622081612;24;141;307;312;7.06;0.44;30.67;5.01;283;0;56.00;5
25;0;622081615;25;137;307;312;7.00;0.43;31.72;5.01;282;0;57.00;5
26;0;622081618;26;139;312;318;7.01;0.43;32.73;4.95;286;0;58.00;6
26;0;622081621;26;138;312;318;7.04;0.43;32.73;4.95;286;0;59.00;6
27;0;622081626;27;142;312;318;7.06;0.43;33.59;4.95;285;0;60.00;6
27;0;622081629;27;142;312;318;7.16;0.44;33.59;4.95;285;0;61.00;6
27;0;622081632;27;145;316;322;7.23;0.44;33.59;4.90;289;0;62.00;6
29;0;622081635;29;146;317;323;7.34;0.45;34.17;4.88;288;0;63.00;6
29;0;622081639;29;148;317;323;7.53;0.46;34.17;4.88;288;0;64.00;6
30;0;622081642;30;151;318;324;7.62;0.47;35.20;4.87;288;0;65.00;6
31;0;622081645;31;152;318;324;7.65;0.47;36.03;4.87;287;0;66.00;6
31;0;622081647;31;142;318;324;7.78;0.48;36.03;4.87;287;0;67.00;6
32;0;622081650;32;138;318;324;7.90;0.48;36.78;4.87;286;0;68.00;6
34;0;622081653;34;134;318;324;7.97;0.49;38.53;4.87;284;0;69.00;6
35;0;622081656;35;129;318;324;8.07;0.49;39.43;4.87;283;0;70.00;6
35;0;622081659;35;127;318;324;8.28;0.50;39.43;4.87;283;0;71.00;6
36;0;622081663;36;132;352;394;8.42;0.52;40.33;4.40;316;0;72.00;42
36;1;622081673;36;124;353;395;8.52;0.52;40.33;4.39;317;1;73.00;42
36;1;622081691;36;119;360;395;8.84;0.54;40.33;4.34;324;1;74.00;35
36;1;622081695;36;117;364;395;9.09;0.56;40.33;4.33;328;1;75.00;31
36;1;622081698;36;117;366;395;9.24;0.57;40.33;4.33;330;1;76.00;29
36;1;622081707;36;117;368;395;9.37;0.57;40.33;4.33;332;1;77.00;27
36;1;622081710;36;120;370;395;9.48;0.58;40.33;4.34;334;1;78.00;25
37;1;622081719;37;120;372;395;9.53;0.58;40.95;4.35;335;1;79.00;23
39;1;622081723;39;120;374;396;9.46;0.58;42.82;4.37;335;1;80.00;22
39;1;622081727;39;119;376;397;9.42;0.57;42.82;4.40;337;1;81.00;21
40;1;622081731;40;126;379;397;9.41;0.57;43.80;4.42;339;1;82.00;18
40;1;622081735;40;131;384;401;9.28;0.56;43.80;4.40;344;1;83.00;17
41;1;622081739;41;133;385;401;9.17;0.56;44.76;4.40;344;1;84.00;16
41;1;622081743;41;130;385;401;9.12;0.55;44.76;4.40;344;1;85.00;16
41;1;622081746;41;131;385;401;9.02;0.55;44.76;4.40;344;1;86.00;16
42;1;622081749;42;134;390;407;8.94;0.54;45.52;4.36;348;1;87.00;17
44;1;622081753;44;132;390;407;8.71;0.53;47.45;4.36;346;1;88.00;17
44;1;622081757;44;133;390;407;8.55;0.52;47.45;4.36;346;1;89.00;17
45;1;622081762;45;136;394;413;8.55;0.52;48.40;4.31;349;1;90.00;19
45;1;622081767;45;131;395;413;8.55;0.52;48.40;4.30;350;1;91.00;18
47;1;622081772;47;132;396;413;8.51;0.52;50.26;4.30;349;1;92.00;17
47;1;622081775;47;136;397;414;8.47;0.52;50.26;4.29;350;1;93.00;17
49;1;622081779;49;136;398;415;8.48;0.52;51.96;4.28;349;1;94.00;17
49;1;622081783;49;138;398;415;8.43;0.51;51.96;4.28;349;1;95.00;17
51;1;622081786;51;143;409;428;8.33;0.51;52.27;4.17;358;1;96.00;19
51;1;622081792;51;138;409;428;8.34;0.51;52.27;4.17;358;1;97.00;19
54;1;622081795;54;134;409;428;8.32;0.51;54.70;4.17;355;1;98.00;19
55;1;622081799;55;131;410;429;8.40;0.51;55.51;4.16;355;1;99.00;19
59;1;622081804;59;130;410;429;8.39;0.51;58.51;4.16;351;1;100.00;19
