step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;5983383;0;1;91;245;16.05;1.13;-1.00;0.00;91;0;0.00;154
0;0;5983406;0;1;104;245;15.06;1.04;-1.00;0.13;104;0;1.00;141
0;0;5983407;0;3;124;245;14.16;0.97;-1.00;0.43;124;0;2.00;121
0;0;5983408;0;4;139;245;13.15;0.89;-1.00;0.71;139;0;3.00;106
0;0;5983409;0;4;151;245;12.28;0.82;-1.00;0.97;151;0;4.00;94
0;0;5983410;0;6;158;245;11.42;0.76;-1.00;1.15;158;0;5.00;87
0;0;5983411;0;9;170;245;10.56;0.70;-1.00;1.49;170;0;6.00;75
0;0;5983413;0;12;179;245;9.89;0.66;-1.00;1.77;179;0;7.00;66
0;0;5983414;0;15;186;246;9.45;0.63;-1.00;2.00;186;0;8.00;60
0;0;5983416;0;22;196;247;8.89;0.59;-1.00;2.36;196;0;9.00;51
0;0;5983418;0;25;201;247;8.58;0.57;-1.00;2.55;201;0;10.00;46
1;0;5983420;1;32;205;248;8.43;0.56;11.00;2.66;204;0;11.00;43
1;0;5983422;1;40;209;248;8.48;0.56;11.00;2.84;208;0;12.00;39
2;0;5983424;2;38;212;248;8.50;0.56;12.00;2.99;210;0;13.00;36
2;0;5983426;2;41;217;248;8.39;0.55;12.00;3.24;215;0;14.00;31
2;0;5983428;2;42;222;252;8.27;0.53;12.00;3.28;220;0;15.00;30
2;0;5983431;2;46;223;252;8.18;0.53;12.00;3.34;221;0;16.00;29
2;0;5983433;2;55;225;252;8.17;0.52;12.00;3.46;223;0;17.00;27
2;0;5983435;2;60;228;255;8.12;0.51;12.00;3.57;226;0;18.00;27
3;0;5983438;3;64;229;255;8.05;0.51;14.33;3.64;226;0;19.00;26
4;0;5983440;4;66;232;255;8.03;0.51;15.75;3.85;228;0;20.00;23
4;0;5983442;4;71;238;259;8.07;0.51;15.75;3.89;234;0;21.00;21
4;0;5983445;4;72;241;260;7.99;0.50;15.75;4.03;237;0;22.00;19
4;0;5983448;4;76;241;260;7.94;0.50;15.75;4.03;237;0;23.00;19
4;0;5983450;4;82;245;264;7.99;0.50;15.75;4.16;241;0;24.00;19
