tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
12.00;48484723_1;142.71;19.04;0.00;0.00;48484828#4_1;127.81;19.84;vehroute_7.1122.0 tripinfo_7.1122.0 routing_7.1122.0 emissions_7.1122.0;12.00;7.1122.0;0;219.92;1.19;0.00;0.40;taxi;;0;0.00;24310.054640;64.336087;0.813562;8.280062;0.330551;0;10.449834
17.00;48484723_1;142.71;19.99;0.00;0.00;48484828#4_1;0.00;21.23;vehroute_0.162.0 tripinfo_0.162.0 routing_0.162.0 emissions_0.162.0;17.00;0.162.0;0;347.73;1.27;0.00;0.49;passenger;;0;0.00;33882.772273;251.403354;1.917893;12.590144;0.588356;0;14.564655
20.00;53283046#0_0;165.89;21.25;0.00;0.00;192483968#1_0;0.00;21.57;vehroute_0.182.0 tripinfo_0.182.0 routing_0.182.0 emissions_0.182.0;20.00;0.182.0;0;368.27;1.29;0.00;2.12;passenger;;0;0.00;89168.295127;1043.456499;6.922263;36.218748;1.783033;0;38.329203
21.00;53292332#0_0;29.81;9.85;0.00;0.00;--199263543_0;28.19;10.43;vehroute_0.82.0 tripinfo_0.82.0 routing_0.82.0 emissions_0.82.0;21.00;0.82.0;1;196.73;0.94;0.00;4.00;passenger;;0;0.00;65816.582955;1036.142932;6.271911;27.261671;1.204515;0;28.291682
22.00;53283046#0_0;165.89;19.50;1.00;1.00;192483968#1_0;0.00;14.39;vehroute_7.1132.0 tripinfo_7.1132.0 routing_7.1132.0 emissions_7.1132.0;21.00;7.1132.0;0;368.27;1.17;0.00;1.69;taxi;;0;0.00;96604.246309;1009.137629;6.829845;38.547506;1.809127;0;41.525619
30.00;53281543_0;136.33;12.99;0.00;0.00;408074469#0_2;0.00;20.12;vehroute_1.292.0 tripinfo_1.292.0 routing_1.292.0 emissions_1.292.0;30.00;1.292.0;1;313.79;1.21;0.00;9.85;passenger;;1;2.00;83965.259636;1381.107470;8.208321;34.128939;1.506960;0;36.093139
31.00;48484723_1;142.71;19.60;3.00;3.00;48484828#4_1;12.10;0.00;vehroute_2.150.0 tripinfo_2.150.0 routing_2.150.0 emissions_2.150.0;28.00;2.150.0;0;335.63;1.20;0.00;11.20;bus;;0;0.00;685651.529105;1008.263934;192.349856;5195.114224;108.212001;0;292.422845
33.00;28639939#0_0;139.89;16.16;0.00;0.00;53281545#2_1;0.00;17.69;vehroute_0.283.0 tripinfo_0.283.0 routing_0.283.0 emissions_0.283.0;33.00;0.283.0;1;333.86;1.24;0.00;13.51;passenger;;1;1.00;137492.853919;2412.896771;14.283527;58.364155;2.789372;0;59.102020
34.00;775830384_1;114.22;17.57;0.00;0.00;53281545#2_0;0.00;17.69;vehroute_0.281.0 tripinfo_0.281.0 routing_0.281.0 emissions_0.281.0;34.00;0.281.0;1;403.47;1.09;0.00;11.14;passenger;;1;3.00;110664.360159;1632.837120;10.083819;45.830442;2.137523;0;47.569599
35.00;53283046#0_1;165.89;19.66;7.00;7.00;192483968#1_1;12.10;0.00;vehroute_3.450.0 tripinfo_3.450.0 routing_3.450.0 emissions_3.450.0;28.00;3.450.0;0;356.19;1.20;0.00;10.09;bus;;0;0.00;686514.903293;998.346207;192.355783;5179.499659;107.470907;0;292.796099
