step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;4982771;0;1;88;245;16.08;1.13;-1.00;0.00;88;0;0.00;157
0;0;4982794;0;1;103;245;15.05;1.04;-1.00;0.15;103;0;1.00;142
0;0;4982795;0;0;124;245;14.22;0.97;-1.00;0.46;124;0;2.00;121
0;0;4982796;0;2;135;245;13.45;0.91;-1.00;0.67;135;0;3.00;110
0;0;4982797;0;4;151;245;12.14;0.82;-1.00;1.02;151;0;4.00;94
0;0;4982798;0;4;158;245;11.34;0.76;-1.00;1.20;158;0;5.00;87
0;0;4982799;0;9;168;245;10.71;0.71;-1.00;1.48;168;0;6.00;77
0;0;4982800;0;14;178;245;9.92;0.66;-1.00;1.79;178;0;7.00;67
0;0;4982802;0;19;185;246;9.51;0.63;-1.00;2.03;185;0;8.00;61
0;0;4982804;0;23;191;247;9.18;0.61;-1.00;2.25;191;0;9.00;56
0;0;4982807;0;25;198;247;9.04;0.60;-1.00;2.52;198;0;10.00;49
1;0;4982809;1;32;203;248;8.95;0.59;11.00;2.68;202;0;11.00;45
2;0;4982812;2;31;207;248;8.77;0.57;11.50;2.86;205;0;12.00;41
2;0;4982814;2;38;211;248;8.50;0.56;11.50;3.05;209;0;13.00;37
2;0;4982816;2;41;214;248;8.42;0.55;11.50;3.21;212;0;14.00;34
2;0;4982819;2;46;221;252;8.27;0.53;11.50;3.45;219;0;15.00;31
2;0;4982821;2;51;225;252;8.22;0.53;11.50;3.68;223;0;16.00;27
2;0;4982824;2;56;228;252;8.04;0.51;11.50;3.82;226;0;17.00;24
2;0;4982826;2;60;231;255;7.95;0.51;11.50;3.94;229;0;18.00;24
3;0;4982828;3;65;232;255;8.03;0.51;14.00;3.93;229;0;19.00;23
3;0;4982831;3;67;234;255;8.07;0.51;14.00;4.07;231;0;20.00;21
5;0;4982833;5;68;239;259;8.17;0.51;16.80;4.09;234;0;21.00;20
5;0;4982836;5;70;242;260;8.23;0.52;16.80;4.22;237;0;22.00;18
6;0;4982839;6;76;244;260;8.13;0.51;17.67;4.38;238;0;23.00;16
6;0;4982841;6;76;249;264;8.14;0.51;17.67;4.48;243;0;24.00;15
6;0;4982844;6;83;251;264;8.19;0.52;17.67;4.65;245;0;25.00;13
6;0;4982846;6;83;252;264;8.33;0.52;17.67;4.63;246;0;26.00;12
6;0;4982849;6;88;253;265;8.49;0.53;17.67;4.72;247;0;27.00;12
6;0;4982851;6;87;254;265;8.53;0.53;17.67;4.81;248;0;28.00;11
6;0;4982854;6;89;259;271;8.58;0.53;17.67;4.74;253;0;29.00;12
6;0;4982859;6;91;261;271;8.67;0.54;17.67;4.88;255;0;30.00;10
6;0;4982862;6;93;263;272;8.70;0.54;17.67;4.97;257;0;31.00;9
7;0;4982865;7;95;263;272;8.73;0.54;19.29;4.97;256;0;32.00;9
8;0;4982867;8;97;264;272;8.69;0.54;21.00;5.00;256;0;33.00;8
10;0;4982870;10;100;266;272;8.71;0.54;23.60;5.12;256;0;34.00;6
10;0;4982873;10;105;266;272;8.77;0.54;23.60;5.12;256;0;35.00;6
11;0;4982876;11;108;278;284;8.98;0.56;24.09;4.99;267;0;36.00;6
11;0;4982880;11;107;278;284;8.94;0.55;24.09;4.99;267;0;37.00;6
11;0;4982883;11;111;279;284;8.89;0.55;24.09;5.05;268;0;38.00;5
12;0;4982885;12;111;279;284;8.71;0.54;24.92;5.05;267;0;39.00;5
13;0;4982888;13;114;281;284;8.62;0.53;25.77;5.07;268;0;40.00;3
13;0;4982891;13;116;281;284;8.53;0.53;25.77;5.07;268;0;41.00;3
13;0;4982894;13;121;285;288;8.50;0.53;25.77;5.01;272;0;42.00;3
15;0;4982897;15;123;285;288;8.28;0.51;26.53;5.01;270;0;43.00;3
16;0;4982899;16;126;289;292;8.11;0.50;27.44;4.96;273;0;44.00;3
16;0;4982903;16;131;291;294;7.94;0.49;27.44;4.92;275;0;45.00;3
19;0;4982905;19;134;291;294;7.64;0.47;29.68;4.92;272;0;46.00;3
19;0;4982909;19;135;291;294;7.56;0.47;29.68;4.92;272;0;47.00;3
19;0;4982911;19;140;302;307;7.79;0.48;29.68;4.75;283;0;48.00;5
