tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
46.00;775830384_1;114.22;17.02;21.00;0.43;53281545#2_1;0.00;18.18;vehroute_0.281.1 tripinfo_0.281.1 routing_0.281.1 emissions_0.281.1;25.00;0.281.1;1;398.70;1.09;0.00;1.37;passenger;;0;0.00;73597.663483;605.902101;4.414318;28.151652;1.212193;0;31.636297
53.00;-37061736#7_0;33.63;12.58;0.00;0.00;583371595#1_0;60.52;19.76;vehroute_0.33.0 tripinfo_0.33.0 routing_0.33.0 emissions_0.33.0;53.00;0.33.0;1;870.49;1.19;0.00;6.83;passenger;;0;0.00;180195.110141;2055.954271;13.680589;72.441342;3.386473;0;77.457510
55.00;53292418_0;332.16;11.87;1.00;1.00;--199263543_0;0.00;10.69;vehroute_0.84.0 tripinfo_0.84.0 routing_0.84.0 emissions_0.84.0;54.00;0.84.0;1;624.08;1.17;0.00;9.43;passenger;;0;0.00;155097.746629;1997.272288;12.750319;62.381151;2.674600;0;66.669719
55.00;53281543_0;136.33;13.27;23.00;23.00;408074469#0_0;12.10;0.00;vehroute_3.300.0 tripinfo_3.300.0 routing_3.300.0 emissions_3.300.0;32.00;3.300.0;1;301.69;1.20;0.00;11.92;bus;;0;0.00;653003.601980;1006.161437;196.467750;5023.392537;107.451017;0;278.491209
55.00;53283046#0_0;165.89;19.95;36.00;0.00;192483968#1_0;0.00;20.23;vehroute_0.182.1 tripinfo_0.182.1 routing_0.182.1 emissions_0.182.1;19.00;0.182.1;0;368.27;1.21;0.00;0.68;passenger;;0;0.00;47576.833165;384.284289;2.869573;18.131958;0.838670;0;20.451082
56.00;50172050#0_0;132.31;13.09;0.00;0.00;192483968#1_1;120.77;21.12;vehroute_0.185.0 tripinfo_0.185.0 routing_0.185.0 emissions_0.185.0;56.00;0.185.0;1;1005.54;1.27;0.00;3.95;passenger;;0;0.00;168035.491923;1508.159149;10.733829;64.264167;2.919206;0;72.230822
57.00;775830384_0;114.22;8.38;0.00;0.00;-28639939#0_0;12.10;0.00;vehroute_2.250.0 tripinfo_2.250.0 routing_2.250.0 emissions_2.250.0;57.00;2.250.0;1;336.50;1.20;15.00;21.04;bus;;0;0.00;882681.004090;1543.440976;309.596548;7103.622064;162.208255;0;376.403310
57.00;28639939#0_0;139.89;16.56;24.00;24.00;53281545#2_0;12.10;0.00;vehroute_2.350.0 tripinfo_2.350.0 routing_2.350.0 emissions_2.350.0;33.00;2.350.0;1;329.61;1.20;0.00;13.65;bus;;0;0.00;790178.882707;1177.502840;222.584709;6017.139772;125.964264;0;336.996240
58.00;-49049137_0;228.40;12.27;3.00;3.00;--199263543_0;0.00;4.33;vehroute_0.86.0 tripinfo_0.86.0 routing_0.86.0 emissions_0.86.0;55.00;0.86.0;1;666.79;1.20;0.00;11.82;passenger;;0;0.00;183626.528420;2560.464121;16.000581;75.316821;3.386861;0;78.932813
59.00;-53292327_0;316.56;12.65;2.00;2.00;--199263543_0;0.00;8.32;vehroute_0.85.0 tripinfo_0.85.0 routing_0.85.0 emissions_0.85.0;57.00;0.85.0;1;679.97;1.14;0.00;9.25;passenger;;0;0.00;164228.626042;2209.343620;13.944945;66.693011;2.922538;0;70.594620
63.00;gneE5_0;349.68;14.06;0.00;0.00;192483968#1_1;47.85;22.31;vehroute_0.184.0 tripinfo_0.184.0 routing_0.184.0 emissions_0.184.0;63.00;0.184.0;1;1062.50;1.34;0.00;5.99;passenger;;0;0.00;198986.600871;2168.494266;14.664475;79.608502;3.712076;0;85.535079
63.00;-49030944#2_0;126.35;20.15;0.00;0.00;-47826546_0;0.00;14.18;vehroute_1.530.0 tripinfo_1.530.0 routing_1.530.0 emissions_1.530.0;63.00;1.530.0;1;772.29;1.28;0.00;12.11;passenger;;0;0.00;211137.702079;2792.363834;17.733860;86.673427;3.911507;0;90.758485
64.00;-37061736#7_0;33.63;13.56;4.00;4.00;583371595#1_0;0.00;12.45;vehroute_6.1062.0 tripinfo_6.1062.0 routing_6.1062.0 emissions_6.1062.0;60.00;6.1062.0;1;933.54;1.23;0.00;12.00;taxi;;0;0.00;242970.930240;3029.978364;19.599524;99.681964;4.727158;0;104.441788
66.00;775830384_1;114.22;18.48;42.00;0.86;53281545#2_0;0.00;18.67;vehroute_0.281.2 tripinfo_0.281.2 routing_0.281.2 emissions_0.281.2;24.00;0.281.2;1;398.70;1.12;0.00;1.79;passenger;;0;0.00;68850.111689;696.454719;4.736835;27.267597;1.239561;0;29.595464
69.00;49049126_0;160.53;12.37;7.00;7.00;--199263543_0;0.00;2.86;vehroute_0.88.0 tripinfo_0.88.0 routing_0.88.0 emissions_0.88.0;62.00;0.88.0;1;790.06;1.14;0.00;12.40;passenger;;0;0.00;217251.664515;2833.994091;18.050671;87.915575;3.928138;0;93.386778
69.00;-49030944#2_0;126.35;16.86;0.00;0.00;-47826546_0;36.06;11.33;vehroute_1.550.0 tripinfo_1.550.0 routing_1.550.0 emissions_1.550.0;69.00;1.550.0;1;727.54;1.02;0.00;7.87;passenger;;0;0.00;178688.036712;2449.581357;15.341105;71.965317;3.016548;0;76.810322
71.00;163041337_0;150.93;14.52;0.00;0.00;583371595#1_1;60.79;22.66;vehroute_0.34.0 tripinfo_0.34.0 routing_0.34.0 emissions_0.34.0;71.00;0.34.0;1;1237.68;1.36;0.00;11.86;passenger;;0;0.00;269621.731195;3372.150389;21.878293;110.008413;5.365456;0;115.897692
72.00;48484826_0;279.83;11.72;5.00;5.00;--199263543_0;0.00;3.83;vehroute_0.87.0 tripinfo_0.87.0 routing_0.87.0 emissions_0.87.0;67.00;0.87.0;1;792.77;1.10;0.00;12.25;passenger;;0;0.00;199421.795147;2524.718835;16.099304;79.447679;3.383914;0;85.722754
